PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
15.0,4.0,4.0,12.0,0.333,2.0,7.0,0.286,5.0,6.0,0.833,5.0,0.512,22.5,0.417,90.0,91.0,9.0,-1.5,113.9
40.0,6.0,16.0,31.0,0.516,3.0,10.0,0.3,5.0,5.0,1.0,4.0,0.602,44.6,0.565,113.0,111.0,29.4,8.3,116.8
16.0,4.0,4.0,11.0,0.364,2.0,6.0,0.333,6.0,6.0,1.0,2.0,0.587,21.3,0.455,115.0,114.0,14.0,3.9,113.0
10.0,3.0,4.0,12.0,0.333,0.0,4.0,0.0,2.0,2.0,1.0,3.0,0.388,22.6,0.333,80.0,125.0,4.0,-12.8,114.2
14.0,3.0,5.0,19.0,0.263,2.0,8.0,0.25,2.0,2.0,1.0,4.0,0.352,39.0,0.316,67.0,120.0,1.9,-12.5,112.5
35.0,8.0,15.0,26.0,0.577,5.0,10.0,0.5,0.0,1.0,0.0,3.0,0.662,34.6,0.673,120.0,78.0,33.9,24.3,119.3
28.0,5.0,10.0,20.0,0.5,3.0,8.0,0.375,5.0,6.0,0.833,5.0,0.618,33.9,0.575,110.0,109.0,18.3,0.7,119.3
32.0,6.0,11.0,16.0,0.688,4.0,6.0,0.667,6.0,7.0,0.857,5.0,0.839,29.5,0.813,132.0,108.0,24.8,7.6,120.0
34.0,4.0,11.0,22.0,0.5,5.0,14.0,0.357,7.0,8.0,0.875,5.0,0.666,36.4,0.614,111.0,113.0,21.8,5.3,116.7
26.0,3.0,10.0,20.0,0.5,5.0,11.0,0.455,1.0,3.0,0.333,1.0,0.61,26.9,0.625,117.0,123.0,18.0,1.5,110.6
29.0,4.0,10.0,17.0,0.588,2.0,7.0,0.286,7.0,9.0,0.778,4.0,0.692,30.7,0.647,118.0,101.0,22.1,5.6,113.9
17.0,4.0,5.0,21.0,0.238,1.0,6.0,0.167,6.0,7.0,0.857,2.0,0.353,33.4,0.262,79.0,113.0,6.1,-7.2,114.1
22.0,5.0,7.0,18.0,0.389,2.0,7.0,0.286,6.0,8.0,0.75,1.0,0.511,33.3,0.444,116.0,99.0,17.9,3.5,119.3
23.0,6.0,7.0,13.0,0.538,1.0,3.0,0.333,8.0,8.0,1.0,10.0,0.696,31.8,0.577,94.0,110.0,13.4,-4.9,116.7
16.0,3.0,5.0,18.0,0.278,3.0,6.0,0.5,3.0,3.0,1.0,4.0,0.414,28.5,0.361,82.0,91.0,6.0,-3.3,118.9
19.0,7.0,8.0,15.0,0.533,2.0,4.0,0.5,1.0,1.0,1.0,2.0,0.615,26.2,0.6,126.0,124.0,15.5,3.9,115.3
11.0,5.0,3.0,12.0,0.25,2.0,6.0,0.333,3.0,3.0,1.0,4.0,0.413,23.2,0.333,85.0,110.0,6.7,-4.9,114.2
29.0,7.0,10.0,20.0,0.5,5.0,11.0,0.455,4.0,4.0,1.0,4.0,0.666,36.5,0.625,121.0,117.0,22.9,9.6,113.3
36.0,6.0,13.0,27.0,0.481,5.0,12.0,0.417,5.0,5.0,1.0,2.0,0.616,33.0,0.574,126.0,104.0,30.2,12.4,115.6
26.0,3.0,8.0,22.0,0.364,2.0,5.0,0.4,8.0,9.0,0.889,2.0,0.501,35.0,0.409,107.0,100.0,14.7,-0.1,111.5
17.0,11.0,4.0,13.0,0.308,2.0,7.0,0.286,7.0,8.0,0.875,4.0,0.515,26.3,0.385,114.0,94.0,16.5,7.6,113.8
22.0,8.0,7.0,15.0,0.467,4.0,10.0,0.4,4.0,4.0,1.0,7.0,0.656,31.2,0.6,108.0,94.0,17.3,5.1,115.3
22.0,4.0,7.0,18.0,0.389,3.0,10.0,0.3,5.0,5.0,1.0,2.0,0.545,29.3,0.472,107.0,126.0,14.7,-2.5,113.3
