Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Stephen Curry,Point,2021-10-19,GSW,LAL,21.0,10.0,5.0,21.0,0.238,2.0,8.0,0.25,9.0,9.0,1.0,4.0,0.421,31.2,0.286,94.0,97.0,17.3,1.8,113.3
Stephen Curry,Point,2021-10-21,GSW,LAC,45.0,1.0,16.0,25.0,0.64,8.0,13.0,0.615,5.0,5.0,1.0,6.0,0.827,37.3,0.8,124.0,108.0,32.5,13.8,110.1
Stephen Curry,Point,2021-10-24,GSW,SAC,27.0,10.0,9.0,23.0,0.391,4.0,15.0,0.267,5.0,6.0,0.833,3.0,0.527,34.3,0.478,114.0,106.0,23.2,9.2,115.3
Stephen Curry,Point,2021-10-26,GSW,OKC,23.0,4.0,6.0,14.0,0.429,4.0,9.0,0.444,7.0,7.0,1.0,4.0,0.673,29.6,0.571,114.0,107.0,16.9,3.2,112.8
Stephen Curry,Point,2021-10-28,GSW,MEM,36.0,8.0,11.0,29.0,0.379,7.0,20.0,0.35,7.0,7.0,1.0,5.0,0.561,41.2,0.5,103.0,99.0,23.4,9.9,109.0
Stephen Curry,Point,2021-11-05,GSW,NOP,19.0,6.0,5.0,16.0,0.313,5.0,13.0,0.385,4.0,4.0,1.0,1.0,0.535,28.0,0.469,119.0,92.0,14.9,4.0,113.0
Stephen Curry,Point,2021-11-08,GSW,ATL,50.0,10.0,14.0,28.0,0.5,9.0,19.0,0.474,13.0,13.0,1.0,2.0,0.741,42.7,0.661,153.0,101.0,48.6,32.0,114.9
Stephen Curry,Point,2021-11-10,GSW,MIN,25.0,6.0,8.0,16.0,0.5,3.0,9.0,0.333,6.0,8.0,0.75,3.0,0.64,26.7,0.594,133.0,117.0,19.1,5.2,111.7
Stephen Curry,Point,2021-11-12,GSW,CHI,40.0,5.0,15.0,24.0,0.625,9.0,17.0,0.529,1.0,1.0,1.0,6.0,0.818,36.8,0.813,125.0,96.0,29.2,18.3,113.6
Stephen Curry,Point,2021-11-14,GSW,CHO,24.0,10.0,7.0,22.0,0.318,3.0,13.0,0.231,7.0,7.0,1.0,3.0,0.478,32.5,0.386,104.0,101.0,20.5,9.8,113.7
Stephen Curry,Point,2021-11-16,GSW,BRK,37.0,5.0,12.0,19.0,0.632,9.0,14.0,0.643,4.0,4.0,1.0,2.0,0.891,33.3,0.868,159.0,91.0,33.2,31.1,112.8
Stephen Curry,Point,2021-11-18,GSW,CLE,40.0,6.0,15.0,27.0,0.556,9.0,16.0,0.563,1.0,1.0,1.0,3.0,0.729,42.3,0.722,120.0,100.0,29.9,17.8,109.7
Stephen Curry,Point,2021-11-21,GSW,TOR,12.0,8.0,2.0,10.0,0.2,1.0,6.0,0.167,7.0,7.0,1.0,4.0,0.459,21.0,0.25,103.0,114.0,8.6,-7.2,110.5
Stephen Curry,Point,2021-11-24,GSW,PHI,25.0,10.0,9.0,16.0,0.563,6.0,11.0,0.545,1.0,2.0,0.5,4.0,0.741,26.9,0.75,123.0,99.0,21.8,11.3,110.8
Stephen Curry,Point,2021-11-26,GSW,POR,32.0,8.0,12.0,25.0,0.48,6.0,15.0,0.4,2.0,3.0,0.667,3.0,0.608,33.9,0.6,120.0,109.0,23.8,6.6,116.9
Stephen Curry,Point,2021-11-28,GSW,LAC,33.0,6.0,12.0,22.0,0.545,7.0,13.0,0.538,2.0,2.0,1.0,3.0,0.721,32.0,0.705,131.0,82.0,29.5,23.0,110.1
Stephen Curry,Point,2021-11-30,GSW,PHO,12.0,2.0,4.0,21.0,0.19,3.0,14.0,0.214,1.0,1.0,1.0,2.0,0.28,27.4,0.262,70.0,112.0,1.3,-9.0,107.3
Stephen Curry,Point,2021-12-03,GSW,PHO,23.0,5.0,8.0,20.0,0.4,6.0,11.0,0.545,1.0,2.0,0.5,3.0,0.551,30.0,0.55,111.0,105.0,13.8,1.8,107.3
Stephen Curry,Point,2021-12-04,GSW,SAS,27.0,5.0,7.0,28.0,0.25,5.0,17.0,0.294,8.0,9.0,0.889,1.0,0.422,38.6,0.339,99.0,109.0,17.7,4.6,112.3
Stephen Curry,Point,2021-12-06,GSW,ORL,31.0,8.0,8.0,16.0,0.5,7.0,13.0,0.538,8.0,8.0,1.0,3.0,0.794,30.4,0.719,146.0,94.0,27.7,18.2,112.5
Stephen Curry,Point,2021-12-11,GSW,PHI,18.0,5.0,6.0,20.0,0.3,3.0,14.0,0.214,3.0,4.0,0.75,3.0,0.414,31.0,0.375,87.0,114.0,9.6,-1.8,110.8
Stephen Curry,Point,2021-12-13,GSW,IND,26.0,6.0,8.0,20.0,0.4,5.0,15.0,0.333,5.0,5.0,1.0,7.0,0.586,37.0,0.525,99.0,105.0,15.9,4.8,116.1
Stephen Curry,Point,2021-12-14,GSW,NYK,22.0,3.0,8.0,19.0,0.421,5.0,14.0,0.357,1.0,2.0,0.5,4.0,0.553,32.7,0.553,89.0,102.0,10.6,-1.4,110.5
Stephen Curry,Point,2021-12-17,GSW,BOS,30.0,4.0,8.0,21.0,0.381,5.0,14.0,0.357,9.0,9.0,1.0,6.0,0.601,37.9,0.5,105.0,114.0,15.8,-0.7,106.9
Stephen Curry,Point,2021-12-20,GSW,SAC,30.0,4.0,13.0,27.0,0.481,4.0,12.0,0.333,0.0,1.0,0.0,4.0,0.547,38.6,0.556,99.0,105.0,16.6,-2.1,115.3
Stephen Curry,Point,2021-12-23,GSW,MEM,46.0,4.0,13.0,22.0,0.591,8.0,14.0,0.571,12.0,12.0,1.0,3.0,0.843,36.1,0.773,151.0,110.0,38.4,20.6,109.0
Stephen Curry,Point,2021-12-25,GSW,PHO,33.0,6.0,10.0,27.0,0.37,5.0,16.0,0.313,8.0,9.0,0.889,1.0,0.533,39.9,0.463,122.0,115.0,24.6,7.6,107.3
Stephen Curry,Point,2021-12-28,GSW,DEN,23.0,4.0,6.0,16.0,0.375,5.0,14.0,0.357,6.0,7.0,0.857,6.0,0.603,30.3,0.531,95.0,103.0,10.6,0.3,112.1
Stephen Curry,Point,2022-01-01,GSW,UTA,28.0,9.0,8.0,18.0,0.444,6.0,12.0,0.5,6.0,7.0,0.857,3.0,0.664,29.5,0.611,126.0,119.0,22.8,6.7,110.5
Stephen Curry,Point,2022-01-03,GSW,MIA,9.0,10.0,3.0,17.0,0.176,1.0,10.0,0.1,2.0,2.0,1.0,2.0,0.252,27.2,0.206,75.0,113.0,3.7,-12.4,109.1
Stephen Curry,Point,2022-01-05,GSW,DAL,14.0,5.0,5.0,24.0,0.208,1.0,9.0,0.111,3.0,4.0,0.75,5.0,0.272,39.3,0.229,55.0,105.0,-0.1,-12.0,109.4
Stephen Curry,Point,2022-01-09,GSW,CLE,28.0,5.0,10.0,21.0,0.476,4.0,11.0,0.364,4.0,4.0,1.0,5.0,0.615,31.6,0.571,115.0,99.0,18.3,8.3,109.7
Stephen Curry,Point,2022-01-11,GSW,MEM,27.0,10.0,8.0,21.0,0.381,2.0,9.0,0.222,9.0,10.0,0.9,3.0,0.531,31.8,0.429,110.0,108.0,23.3,5.9,109.0
Stephen Curry,Point,2022-01-13,GSW,MIL,12.0,4.0,4.0,11.0,0.364,2.0,6.0,0.333,2.0,2.0,1.0,4.0,0.505,21.6,0.455,84.0,109.0,9.1,-1.2,111.8
Stephen Curry,Point,2022-01-14,GSW,CHI,19.0,2.0,7.0,15.0,0.467,4.0,10.0,0.4,1.0,2.0,0.5,1.0,0.598,27.0,0.6,115.0,105.0,12.9,-2.7,113.6
Stephen Curry,Point,2022-01-18,GSW,DET,18.0,8.0,6.0,11.0,0.545,4.0,8.0,0.5,2.0,2.0,1.0,1.0,0.758,20.1,0.727,152.0,87.0,20.8,19.7,113.8
Stephen Curry,Point,2022-01-20,GSW,IND,39.0,8.0,12.0,27.0,0.444,6.0,16.0,0.375,9.0,9.0,1.0,2.0,0.63,31.1,0.556,133.0,116.0,29.8,10.1,116.1
Stephen Curry,Point,2022-01-21,GSW,HOU,22.0,12.0,6.0,21.0,0.286,4.0,13.0,0.308,6.0,8.0,0.75,2.0,0.449,30.4,0.381,106.0,106.0,17.0,3.9,116.7
Stephen Curry,Point,2022-01-23,GSW,UTA,13.0,6.0,5.0,20.0,0.25,1.0,13.0,0.077,2.0,2.0,1.0,1.0,0.311,31.1,0.275,85.0,123.0,6.2,-7.7,110.5
Stephen Curry,Point,2022-01-25,GSW,DAL,18.0,7.0,7.0,16.0,0.438,2.0,10.0,0.2,2.0,3.0,0.667,4.0,0.52,31.0,0.5,108.0,92.0,13.4,0.0,109.4
Stephen Curry,Point,2022-01-27,GSW,MIN,29.0,6.0,10.0,20.0,0.5,6.0,10.0,0.6,3.0,3.0,1.0,4.0,0.68,29.0,0.65,121.0,109.0,24.2,6.6,111.7
Stephen Curry,Point,2022-01-29,GSW,BRK,19.0,8.0,5.0,18.0,0.278,3.0,10.0,0.3,6.0,6.0,1.0,5.0,0.46,29.9,0.361,98.0,107.0,12.9,-0.1,112.8
Stephen Curry,Point,2022-01-31,GSW,HOU,40.0,9.0,13.0,23.0,0.565,7.0,14.0,0.5,7.0,8.0,0.875,1.0,0.754,33.4,0.717,158.0,113.0,37.2,17.9,116.7
Stephen Curry,Point,2022-02-03,GSW,SAC,20.0,7.0,7.0,11.0,0.636,4.0,7.0,0.571,2.0,2.0,1.0,4.0,0.842,22.7,0.818,139.0,119.0,16.7,4.5,115.3
Stephen Curry,Point,2022-02-07,GSW,OKC,18.0,10.0,6.0,12.0,0.5,4.0,10.0,0.4,2.0,2.0,1.0,4.0,0.699,21.2,0.667,121.0,101.0,17.9,4.2,112.8
Stephen Curry,Point,2022-02-09,GSW,UTA,16.0,2.0,5.0,13.0,0.385,3.0,8.0,0.375,3.0,4.0,0.75,4.0,0.542,31.5,0.5,87.0,124.0,7.6,-5.4,110.5
Stephen Curry,Point,2022-02-10,GSW,NYK,35.0,10.0,11.0,25.0,0.44,5.0,16.0,0.313,8.0,8.0,1.0,3.0,0.614,36.7,0.54,121.0,122.0,25.5,7.6,110.5
Stephen Curry,Point,2022-02-12,GSW,LAL,24.0,8.0,7.0,17.0,0.412,1.0,8.0,0.125,9.0,9.0,1.0,2.0,0.573,26.4,0.441,123.0,116.0,19.8,4.3,113.3
Stephen Curry,Point,2022-02-14,GSW,LAC,33.0,2.0,11.0,18.0,0.611,8.0,13.0,0.615,3.0,3.0,1.0,4.0,0.854,31.3,0.833,128.0,128.0,22.0,9.9,110.1
Stephen Curry,Point,2022-02-16,GSW,DEN,25.0,6.0,10.0,19.0,0.526,1.0,7.0,0.143,4.0,4.0,1.0,2.0,0.602,26.0,0.553,119.0,125.0,18.0,-2.0,112.1
Stephen Curry,Point,2022-02-24,GSW,POR,18.0,14.0,5.0,11.0,0.455,2.0,7.0,0.286,6.0,6.0,1.0,3.0,0.66,25.5,0.545,141.0,94.0,21.1,12.8,116.9
Stephen Curry,Point,2022-02-27,GSW,DAL,27.0,10.0,11.0,25.0,0.44,3.0,10.0,0.3,2.0,4.0,0.5,1.0,0.504,31.9,0.5,114.0,113.0,22.7,10.0,109.4
Stephen Curry,Point,2022-03-01,GSW,MIN,34.0,4.0,10.0,24.0,0.417,5.0,16.0,0.313,9.0,9.0,1.0,4.0,0.608,39.6,0.521,112.0,127.0,21.5,3.3,111.7
Stephen Curry,Point,2022-03-03,GSW,DAL,21.0,9.0,8.0,15.0,0.533,4.0,5.0,0.8,1.0,1.0,1.0,3.0,0.68,21.5,0.667,133.0,136.0,18.3,2.6,109.4
Stephen Curry,Point,2022-03-08,GSW,LAC,15.0,5.0,5.0,12.0,0.417,1.0,6.0,0.167,4.0,4.0,1.0,4.0,0.545,21.4,0.458,96.0,93.0,11.0,-2.8,110.1
Stephen Curry,Point,2022-03-10,GSW,DEN,34.0,3.0,11.0,21.0,0.524,5.0,12.0,0.417,7.0,7.0,1.0,2.0,0.706,31.8,0.643,131.0,105.0,28.1,12.0,112.1
Stephen Curry,Point,2022-03-14,GSW,WAS,47.0,6.0,16.0,25.0,0.64,7.0,14.0,0.5,8.0,8.0,1.0,2.0,0.824,38.8,0.78,156.0,115.0,40.5,20.9,114.5
