Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Bradley Beal,Shooting,2021-10-20,WAS,TOR,23.0,4.0,7.0,19.0,0.368,1.0,6.0,0.167,8.0,8.0,1.0,4.0,0.511,32.9,0.395,94.0,80.0,15.4,3.8,110.5
Bradley Beal,Shooting,2021-10-27,WAS,BOS,17.0,2.0,7.0,25.0,0.28,0.0,6.0,0.0,3.0,3.0,1.0,5.0,0.323,38.2,0.28,71.0,102.0,5.4,-12.3,106.9
Bradley Beal,Shooting,2021-10-28,WAS,ATL,27.0,8.0,11.0,26.0,0.423,1.0,4.0,0.25,4.0,4.0,1.0,1.0,0.486,32.0,0.442,115.0,113.0,20.1,0.7,114.9
Bradley Beal,Shooting,2021-10-30,WAS,BOS,36.0,6.0,12.0,32.0,0.375,3.0,8.0,0.375,9.0,9.0,1.0,4.0,0.501,37.8,0.422,100.0,94.0,23.4,8.5,106.9
Bradley Beal,Shooting,2021-11-01,WAS,ATL,24.0,3.0,10.0,21.0,0.476,3.0,11.0,0.273,1.0,1.0,1.0,4.0,0.56,33.9,0.548,93.0,127.0,13.2,-2.9,114.9
Bradley Beal,Shooting,2021-11-03,WAS,TOR,25.0,7.0,8.0,18.0,0.444,2.0,5.0,0.4,7.0,7.0,1.0,2.0,0.593,27.6,0.5,126.0,117.0,23.1,8.0,110.5
Bradley Beal,Shooting,2021-11-05,WAS,MEM,17.0,7.0,7.0,12.0,0.583,0.0,3.0,0.0,3.0,3.0,1.0,5.0,0.638,29.9,0.583,104.0,94.0,11.8,-1.7,109.0
Bradley Beal,Shooting,2021-11-07,WAS,MIL,30.0,8.0,14.0,22.0,0.636,2.0,3.0,0.667,0.0,1.0,0.0,6.0,0.668,34.5,0.682,108.0,102.0,20.8,5.1,111.8
Bradley Beal,Shooting,2021-11-10,WAS,CLE,15.0,7.0,4.0,19.0,0.211,1.0,5.0,0.2,6.0,6.0,1.0,4.0,0.347,31.8,0.237,80.0,108.0,4.7,-11.8,109.7
Bradley Beal,Shooting,2021-11-17,WAS,CHO,24.0,7.0,9.0,20.0,0.45,5.0,11.0,0.455,1.0,1.0,1.0,2.0,0.587,28.7,0.575,111.0,105.0,18.2,11.4,113.7
Bradley Beal,Shooting,2021-11-18,WAS,MIA,30.0,5.0,11.0,18.0,0.611,3.0,8.0,0.375,5.0,6.0,0.833,6.0,0.727,35.8,0.694,112.0,122.0,21.3,4.8,109.1
Bradley Beal,Shooting,2021-11-20,WAS,MIA,21.0,9.0,8.0,17.0,0.471,1.0,7.0,0.143,4.0,4.0,1.0,6.0,0.56,31.2,0.5,104.0,116.0,12.2,-2.8,109.1
Bradley Beal,Shooting,2021-11-22,WAS,CHO,18.0,9.0,5.0,18.0,0.278,2.0,7.0,0.286,6.0,6.0,1.0,4.0,0.436,24.2,0.333,104.0,109.0,13.9,1.4,113.7
Bradley Beal,Shooting,2021-11-24,WAS,NOP,23.0,1.0,11.0,20.0,0.55,0.0,4.0,0.0,1.0,3.0,0.333,3.0,0.539,34.5,0.55,94.0,126.0,11.4,-3.8,113.0
Bradley Beal,Shooting,2021-11-26,WAS,OKC,20.0,6.0,8.0,18.0,0.444,2.0,7.0,0.286,2.0,2.0,1.0,3.0,0.53,28.1,0.5,102.0,110.0,11.8,-3.7,112.8
Bradley Beal,Shooting,2021-11-27,WAS,DAL,26.0,7.0,10.0,14.0,0.714,1.0,1.0,1.0,5.0,6.0,0.833,3.0,0.781,24.3,0.75,140.0,118.0,23.6,6.3,109.4
Bradley Beal,Shooting,2021-11-29,WAS,SAS,18.0,8.0,8.0,21.0,0.381,1.0,5.0,0.2,1.0,2.0,0.5,2.0,0.411,30.8,0.405,94.0,133.0,10.3,-6.1,112.3
Bradley Beal,Shooting,2021-12-01,WAS,MIN,19.0,9.0,8.0,20.0,0.4,1.0,5.0,0.2,2.0,4.0,0.5,3.0,0.437,27.6,0.425,104.0,115.0,14.7,-2.3,111.7
