Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Kevin Durant,Small,2021-10-19,BRK,MIL,32.0,4.0,13.0,25.0,0.52,3.0,7.0,0.429,3.0,6.0,0.5,1.0,0.579,42.8,0.58,113.0,118.0,24.2,11.1,111.8
Kevin Durant,Small,2021-10-22,BRK,PHI,29.0,12.0,9.0,20.0,0.45,1.0,6.0,0.167,10.0,10.0,1.0,2.0,0.594,31.1,0.475,138.0,110.0,32.0,16.3,110.8
Kevin Durant,Small,2021-10-24,BRK,CHO,38.0,3.0,17.0,24.0,0.708,2.0,6.0,0.333,2.0,2.0,1.0,3.0,0.764,33.9,0.75,134.0,116.0,30.0,14.6,113.7
Kevin Durant,Small,2021-10-25,BRK,WAS,25.0,4.0,9.0,17.0,0.529,1.0,2.0,0.5,6.0,9.0,0.667,1.0,0.596,27.5,0.559,118.0,85.0,21.3,9.7,114.5
Kevin Durant,Small,2021-10-27,BRK,MIA,25.0,2.0,9.0,18.0,0.5,2.0,4.0,0.5,5.0,6.0,0.833,5.0,0.606,31.1,0.556,94.0,98.0,17.3,4.0,109.1
Kevin Durant,Small,2021-10-29,BRK,IND,22.0,7.0,7.0,10.0,0.7,1.0,3.0,0.333,7.0,8.0,0.875,7.0,0.814,23.5,0.75,112.0,95.0,18.8,5.0,116.1
Kevin Durant,Small,2021-10-31,BRK,DET,23.0,5.0,10.0,13.0,0.769,1.0,1.0,1.0,2.0,3.0,0.667,3.0,0.803,31.0,0.808,134.0,100.0,17.8,6.1,113.8
Kevin Durant,Small,2021-11-03,BRK,ATL,32.0,5.0,13.0,20.0,0.65,2.0,6.0,0.333,4.0,6.0,0.667,3.0,0.707,31.9,0.7,124.0,108.0,25.9,6.6,114.9
Kevin Durant,Small,2021-11-05,BRK,DET,29.0,5.0,12.0,27.0,0.444,2.0,6.0,0.333,3.0,4.0,0.75,3.0,0.504,40.9,0.481,93.0,91.0,18.7,4.9,113.8
Kevin Durant,Small,2021-11-07,BRK,TOR,31.0,7.0,11.0,19.0,0.579,3.0,6.0,0.5,6.0,6.0,1.0,6.0,0.716,34.7,0.658,123.0,113.0,22.7,4.9,110.5
Kevin Durant,Small,2021-11-08,BRK,CHI,38.0,4.0,13.0,24.0,0.542,3.0,8.0,0.375,9.0,9.0,1.0,2.0,0.68,37.8,0.604,129.0,118.0,30.5,15.7,113.6
Kevin Durant,Small,2021-11-10,BRK,ORL,30.0,2.0,11.0,12.0,0.917,2.0,2.0,1.0,6.0,7.0,0.857,6.0,0.995,30.6,1.0,127.0,91.0,22.1,8.3,112.5
Kevin Durant,Small,2021-11-12,BRK,NOP,28.0,8.0,11.0,17.0,0.647,3.0,3.0,1.0,3.0,4.0,0.75,2.0,0.746,25.1,0.735,144.0,120.0,25.8,8.9,113.0
Kevin Durant,Small,2021-11-14,BRK,OKC,33.0,4.0,9.0,17.0,0.529,2.0,6.0,0.333,13.0,14.0,0.929,1.0,0.712,32.6,0.588,145.0,99.0,29.1,9.6,112.8
Kevin Durant,Small,2021-11-16,BRK,GSW,19.0,3.0,6.0,19.0,0.316,2.0,6.0,0.333,5.0,6.0,0.833,2.0,0.439,31.7,0.368,89.0,122.0,9.3,-3.6,106.9
Kevin Durant,Small,2021-11-17,BRK,CLE,23.0,3.0,9.0,16.0,0.563,2.0,3.0,0.667,3.0,3.0,1.0,1.0,0.664,22.6,0.625,124.0,109.0,17.7,3.0,109.7
Kevin Durant,Small,2021-11-22,BRK,CLE,27.0,9.0,8.0,19.0,0.421,1.0,4.0,0.25,10.0,10.0,1.0,2.0,0.577,27.9,0.447,121.0,113.0,23.9,7.8,109.7
Kevin Durant,Small,2021-11-24,BRK,BOS,21.0,8.0,8.0,16.0,0.5,0.0,4.0,0.0,5.0,6.0,0.833,3.0,0.563,25.8,0.5,120.0,112.0,18.0,2.0,106.9
Kevin Durant,Small,2021-11-27,BRK,PHO,39.0,7.0,13.0,28.0,0.464,4.0,7.0,0.571,9.0,11.0,0.818,6.0,0.594,36.7,0.536,109.0,105.0,30.1,11.1,107.3
Kevin Durant,Small,2021-11-30,BRK,NYK,27.0,9.0,9.0,23.0,0.391,0.0,5.0,0.0,9.0,9.0,1.0,1.0,0.501,31.6,0.391,116.0,122.0,20.8,1.0,110.5
Kevin Durant,Small,2021-12-03,BRK,MIN,30.0,6.0,9.0,18.0,0.5,0.0,1.0,0.0,12.0,13.0,0.923,5.0,0.632,32.9,0.5,114.0,105.0,21.6,3.7,111.7
