Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Trae Young,Point,2021-10-21,ATL,DAL,19.0,14.0,6.0,16.0,0.375,2.0,5.0,0.4,5.0,5.0,1.0,5.0,0.522,30.7,0.438,106.0,96.0,15.6,0.9,109.4
Trae Young,Point,2021-10-23,ATL,CLE,24.0,7.0,8.0,22.0,0.364,1.0,6.0,0.167,7.0,7.0,1.0,2.0,0.478,32.0,0.386,107.0,104.0,17.6,9.1,109.7
Trae Young,Point,2021-10-25,ATL,DET,32.0,9.0,13.0,21.0,0.619,2.0,5.0,0.4,4.0,4.0,1.0,2.0,0.703,33.0,0.667,145.0,108.0,28.2,11.8,113.8
Trae Young,Point,2021-10-27,ATL,NOP,31.0,7.0,13.0,27.0,0.481,2.0,6.0,0.333,3.0,3.0,1.0,3.0,0.547,36.2,0.519,117.0,112.0,21.1,7.7,113.0
Trae Young,Point,2021-10-28,ATL,WAS,15.0,13.0,6.0,17.0,0.353,1.0,5.0,0.2,2.0,3.0,0.667,3.0,0.409,27.5,0.382,96.0,120.0,14.8,0.6,114.5
Trae Young,Point,2021-10-30,ATL,PHI,13.0,10.0,5.0,16.0,0.313,1.0,4.0,0.25,2.0,4.0,0.5,3.0,0.366,25.7,0.344,91.0,128.0,6.8,-4.8,110.8
Trae Young,Point,2021-11-01,ATL,WAS,26.0,6.0,7.0,16.0,0.438,1.0,6.0,0.167,11.0,11.0,1.0,6.0,0.624,33.5,0.469,111.0,122.0,17.2,-4.8,114.5
Trae Young,Point,2021-11-03,ATL,BRK,21.0,10.0,6.0,22.0,0.273,2.0,6.0,0.333,7.0,8.0,0.875,2.0,0.411,31.4,0.318,106.0,123.0,16.1,-1.2,112.8
Trae Young,Point,2021-11-04,ATL,UTA,21.0,7.0,8.0,20.0,0.4,0.0,4.0,0.0,5.0,5.0,1.0,2.0,0.473,33.2,0.4,102.0,125.0,16.0,1.7,110.5
Trae Young,Point,2021-11-06,ATL,PHO,31.0,13.0,10.0,23.0,0.435,4.0,9.0,0.444,7.0,8.0,0.875,6.0,0.584,33.4,0.522,115.0,121.0,21.4,5.3,107.3
Trae Young,Point,2021-11-08,ATL,GSW,28.0,9.0,11.0,20.0,0.55,4.0,8.0,0.5,2.0,3.0,0.667,4.0,0.657,34.0,0.65,120.0,124.0,21.4,7.2,106.9
Trae Young,Point,2021-11-09,ATL,UTA,27.0,6.0,10.0,21.0,0.476,5.0,11.0,0.455,2.0,2.0,1.0,6.0,0.617,37.8,0.595,100.0,124.0,14.7,0.7,110.5
Trae Young,Point,2021-11-12,ATL,DEN,30.0,9.0,9.0,16.0,0.563,3.0,5.0,0.6,9.0,10.0,0.9,5.0,0.735,34.1,0.656,128.0,112.0,24.6,16.8,112.1
Trae Young,Point,2021-11-14,ATL,MIL,42.0,10.0,16.0,26.0,0.615,8.0,13.0,0.615,2.0,2.0,1.0,5.0,0.781,41.7,0.769,148.0,104.0,35.2,27.8,111.8
Trae Young,Point,2021-11-15,ATL,ORL,23.0,6.0,9.0,21.0,0.429,3.0,7.0,0.429,2.0,4.0,0.5,5.0,0.505,39.8,0.5,93.0,113.0,10.9,-11.0,112.5
Trae Young,Point,2021-11-17,ATL,BOS,18.0,11.0,4.0,12.0,0.333,0.0,6.0,0.0,10.0,10.0,1.0,6.0,0.549,30.7,0.333,105.0,115.0,13.1,-5.2,106.9
Trae Young,Point,2021-11-20,ATL,CHO,19.0,9.0,5.0,15.0,0.333,2.0,7.0,0.286,7.0,7.0,1.0,4.0,0.525,29.8,0.4,110.0,114.0,15.0,-0.9,113.7
Trae Young,Point,2021-11-22,ATL,OKC,30.0,6.0,9.0,20.0,0.45,5.0,9.0,0.556,7.0,7.0,1.0,2.0,0.65,37.3,0.575,130.0,114.0,23.6,9.4,112.8
Trae Young,Point,2021-11-24,ATL,SAS,31.0,11.0,14.0,22.0,0.636,2.0,6.0,0.333,1.0,2.0,0.5,2.0,0.677,36.9,0.682,140.0,106.0,30.2,16.7,112.3
Trae Young,Point,2021-11-26,ATL,MEM,31.0,10.0,12.0,16.0,0.75,3.0,4.0,0.75,4.0,5.0,0.8,4.0,0.852,35.3,0.844,147.0,110.0,27.5,15.1,109.0
Trae Young,Point,2021-11-27,ATL,NYK,33.0,7.0,10.0,22.0,0.455,5.0,10.0,0.5,8.0,10.0,0.8,3.0,0.625,33.4,0.568,121.0,115.0,23.5,10.9,110.5
Trae Young,Point,2021-12-01,ATL,IND,33.0,10.0,13.0,27.0,0.481,3.0,10.0,0.3,4.0,4.0,1.0,4.0,0.574,40.6,0.537,117.0,113.0,26.3,4.8,116.1
Trae Young,Point,2021-12-03,ATL,PHI,25.0,10.0,8.0,22.0,0.364,2.0,5.0,0.4,7.0,8.0,0.875,4.0,0.49,38.1,0.409,106.0,110.0,16.1,3.1,110.8
Trae Young,Point,2021-12-05,ATL,CHO,25.0,15.0,9.0,22.0,0.409,4.0,10.0,0.4,3.0,4.0,0.75,6.0,0.526,35.3,0.5,111.0,135.0,19.9,-0.9,113.7
