Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Damian Lillard,Point,2021-10-20,POR,SAC,20.0,11.0,8.0,24.0,0.333,0.0,9.0,0.0,4.0,5.0,0.8,1.0,0.382,28.3,0.333,99.0,120.0,14.3,-6.2,115.3
Damian Lillard,Point,2021-10-23,POR,PHO,19.0,8.0,6.0,11.0,0.545,2.0,7.0,0.286,5.0,5.0,1.0,2.0,0.72,27.0,0.636,147.0,111.0,17.2,6.8,107.3
Damian Lillard,Point,2021-10-25,POR,LAC,12.0,3.0,4.0,15.0,0.267,0.0,8.0,0.0,4.0,4.0,1.0,4.0,0.358,29.1,0.267,68.0,110.0,1.7,-10.9,110.1
Damian Lillard,Point,2021-10-27,POR,MEM,20.0,10.0,6.0,22.0,0.273,4.0,11.0,0.364,4.0,4.0,1.0,2.0,0.421,34.7,0.364,109.0,105.0,13.9,1.3,109.0
Damian Lillard,Point,2021-10-29,POR,LAC,25.0,6.0,9.0,17.0,0.529,5.0,7.0,0.714,2.0,2.0,1.0,6.0,0.699,28.2,0.676,114.0,97.0,16.3,5.3,110.1
Damian Lillard,Point,2021-10-31,POR,CHO,14.0,12.0,5.0,20.0,0.25,2.0,14.0,0.143,2.0,2.0,1.0,2.0,0.335,25.5,0.3,98.0,136.0,8.4,-9.3,113.7
Damian Lillard,Point,2021-11-01,POR,PHI,20.0,10.0,7.0,20.0,0.35,2.0,9.0,0.222,4.0,5.0,0.8,3.0,0.45,31.8,0.4,109.0,127.0,14.1,-2.3,110.8
Damian Lillard,Point,2021-11-03,POR,CLE,26.0,8.0,10.0,27.0,0.37,3.0,12.0,0.25,3.0,5.0,0.6,1.0,0.445,34.2,0.426,101.0,117.0,17.0,-0.3,109.7
Damian Lillard,Point,2021-11-06,POR,LAL,25.0,6.0,9.0,19.0,0.474,6.0,14.0,0.429,1.0,2.0,0.5,3.0,0.629,30.6,0.632,112.0,90.0,17.8,9.2,113.3
Damian Lillard,Point,2021-11-09,POR,LAC,27.0,6.0,11.0,23.0,0.478,4.0,13.0,0.308,1.0,1.0,1.0,2.0,0.576,29.8,0.565,113.0,129.0,19.4,-0.3,110.1
Damian Lillard,Point,2021-11-10,POR,PHO,28.0,7.0,12.0,23.0,0.522,1.0,4.0,0.25,3.0,4.0,0.75,2.0,0.565,30.1,0.543,120.0,125.0,21.3,3.8,107.3
Damian Lillard,Point,2021-11-12,POR,HOU,20.0,7.0,6.0,16.0,0.375,4.0,9.0,0.444,4.0,5.0,0.8,2.0,0.549,22.4,0.5,112.0,97.0,15.8,3.9,116.7
Damian Lillard,Point,2021-11-15,POR,TOR,24.0,8.0,10.0,21.0,0.476,3.0,6.0,0.5,1.0,1.0,1.0,3.0,0.56,29.2,0.548,119.0,123.0,20.6,1.6,110.5
Damian Lillard,Point,2021-11-17,POR,CHI,22.0,10.0,6.0,18.0,0.333,3.0,9.0,0.333,7.0,7.0,1.0,4.0,0.522,26.6,0.417,112.0,116.0,17.3,1.3,113.6
