PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
12.0,7.0,2.0,10.0,0.2,2.0,7.0,0.286,6.0,6.0,1.0,3.0,0.475,17.3,0.3,99.0,108.0,7.9,-1.9,114.2
27.0,2.0,9.0,25.0,0.36,2.0,6.0,0.333,7.0,8.0,0.875,5.0,0.473,38.9,0.4,99.0,123.0,11.1,-6.3,116.7
15.0,5.0,5.0,9.0,0.556,1.0,3.0,0.333,4.0,4.0,1.0,3.0,0.697,19.3,0.611,125.0,105.0,14.2,3.3,114.2
27.0,5.0,9.0,17.0,0.529,2.0,6.0,0.333,7.0,7.0,1.0,4.0,0.672,26.1,0.588,119.0,111.0,19.9,1.5,120.0
21.0,7.0,8.0,17.0,0.471,3.0,7.0,0.429,2.0,2.0,1.0,2.0,0.587,21.6,0.559,121.0,101.0,19.0,5.4,113.9
26.0,4.0,10.0,19.0,0.526,1.0,7.0,0.143,5.0,8.0,0.625,3.0,0.577,30.1,0.553,113.0,105.0,21.0,8.4,120.0
24.0,7.0,9.0,18.0,0.5,3.0,7.0,0.429,3.0,3.0,1.0,4.0,0.621,26.7,0.583,122.0,121.0,20.0,7.8,113.0
22.0,5.0,9.0,19.0,0.474,3.0,9.0,0.333,1.0,1.0,1.0,2.0,0.566,24.0,0.553,112.0,112.0,15.5,5.0,111.9
25.0,6.0,9.0,14.0,0.643,3.0,6.0,0.5,4.0,5.0,0.8,3.0,0.772,27.0,0.75,143.0,110.0,23.9,9.2,119.3
25.0,7.0,9.0,12.0,0.75,1.0,3.0,0.333,6.0,6.0,1.0,3.0,0.854,20.5,0.792,145.0,109.0,28.3,12.1,114.8
11.0,4.0,3.0,7.0,0.429,1.0,3.0,0.333,4.0,4.0,1.0,3.0,0.628,18.4,0.5,108.0,124.0,8.6,-2.1,113.0
13.0,4.0,4.0,9.0,0.444,1.0,4.0,0.25,4.0,4.0,1.0,1.0,0.604,21.0,0.5,135.0,121.0,12.3,0.6,111.2
29.0,3.0,11.0,16.0,0.688,3.0,6.0,0.5,4.0,6.0,0.667,2.0,0.778,24.6,0.781,145.0,119.0,25.9,8.6,110.6
30.0,5.0,10.0,15.0,0.667,2.0,5.0,0.4,8.0,8.0,1.0,2.0,0.81,24.7,0.733,153.0,113.0,26.7,7.4,114.2
25.0,9.0,8.0,15.0,0.533,2.0,8.0,0.25,7.0,8.0,0.875,3.0,0.675,26.8,0.6,129.0,98.0,22.7,11.1,113.3
23.0,8.0,8.0,11.0,0.727,1.0,1.0,1.0,6.0,7.0,0.857,5.0,0.817,23.1,0.773,136.0,98.0,25.4,11.0,117.7
19.0,5.0,6.0,22.0,0.273,1.0,11.0,0.091,6.0,7.0,0.857,2.0,0.379,29.3,0.295,87.0,111.0,8.5,-5.2,115.3
21.0,4.0,8.0,14.0,0.571,1.0,5.0,0.2,4.0,4.0,1.0,6.0,0.666,29.5,0.607,98.0,129.0,12.8,-1.5,114.4
8.0,4.0,2.0,6.0,0.333,0.0,1.0,0.0,4.0,6.0,0.667,3.0,0.463,21.1,0.333,93.0,144.0,3.4,-9.3,115.6
22.0,3.0,8.0,18.0,0.444,2.0,3.0,0.667,4.0,4.0,1.0,3.0,0.557,36.2,0.5,106.0,118.0,13.7,0.1,116.3
25.0,2.0,9.0,17.0,0.529,5.0,10.0,0.5,2.0,2.0,1.0,6.0,0.699,29.3,0.676,106.0,112.0,14.5,4.9,113.0
23.0,3.0,8.0,18.0,0.444,2.0,7.0,0.286,5.0,5.0,1.0,1.0,0.569,23.9,0.5,125.0,125.0,16.7,1.1,113.9
8.0,3.0,1.0,3.0,0.333,1.0,1.0,1.0,5.0,8.0,0.625,3.0,0.613,17.0,0.5,105.0,107.0,5.7,-5.8,118.8
22.0,5.0,8.0,15.0,0.533,1.0,3.0,0.333,5.0,6.0,0.833,1.0,0.624,28.2,0.567,130.0,107.0,20.2,7.8,114.1
30.0,2.0,10.0,19.0,0.526,5.0,8.0,0.625,5.0,6.0,0.833,2.0,0.693,27.9,0.658,127.0,107.0,21.6,6.6,112.5
