PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
20.0,3.0,8.0,17.0,0.471,1.0,4.0,0.25,3.0,4.0,0.75,1.0,0.533,25.6,0.5,112.0,104.0,14.5,-1.1,112.8
10.0,4.0,4.0,14.0,0.286,1.0,6.0,0.167,1.0,1.0,1.0,4.0,0.346,33.7,0.321,62.0,124.0,2.4,-9.0,109.1
28.0,3.0,9.0,17.0,0.529,2.0,7.0,0.286,8.0,9.0,0.889,6.0,0.668,32.8,0.588,109.0,109.0,18.0,0.5,112.3
27.0,7.0,9.0,17.0,0.529,2.0,3.0,0.667,7.0,8.0,0.875,5.0,0.658,34.3,0.588,116.0,110.0,21.8,5.6,116.1
16.0,5.0,6.0,16.0,0.375,1.0,8.0,0.125,3.0,4.0,0.75,1.0,0.45,23.5,0.406,107.0,111.0,13.0,0.0,111.7
19.0,5.0,8.0,21.0,0.381,2.0,7.0,0.286,1.0,1.0,1.0,4.0,0.443,32.0,0.429,82.0,93.0,9.9,1.0,112.3
16.0,6.0,4.0,12.0,0.333,2.0,6.0,0.333,6.0,7.0,0.857,0.0,0.531,21.4,0.417,127.0,104.0,14.4,4.6,113.3
16.0,4.0,5.0,13.0,0.385,3.0,8.0,0.375,3.0,3.0,1.0,4.0,0.559,25.8,0.5,90.0,90.0,10.7,0.7,112.8
13.0,8.0,4.0,9.0,0.444,3.0,5.0,0.6,2.0,4.0,0.5,1.0,0.604,16.6,0.611,138.0,110.0,12.8,2.3,112.5
12.0,2.0,4.0,6.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,1.0,0.82,17.0,0.75,151.0,91.0,12.4,8.6,112.5
17.0,7.0,5.0,11.0,0.455,4.0,9.0,0.444,3.0,3.0,1.0,6.0,0.69,28.5,0.636,109.0,115.0,11.9,-1.2,112.1
14.0,5.0,6.0,13.0,0.462,1.0,5.0,0.2,1.0,1.0,1.0,3.0,0.521,23.7,0.5,98.0,98.0,10.1,-1.1,116.1
21.0,5.0,6.0,18.0,0.333,4.0,8.0,0.5,5.0,5.0,1.0,1.0,0.52,26.1,0.444,116.0,122.0,14.3,-1.0,113.7
22.0,2.0,8.0,20.0,0.4,2.0,5.0,0.4,4.0,5.0,0.8,3.0,0.495,31.6,0.45,100.0,108.0,12.3,1.4,110.5
22.0,9.0,9.0,18.0,0.5,3.0,8.0,0.375,1.0,1.0,1.0,4.0,0.597,30.1,0.583,120.0,108.0,16.7,5.1,109.1
21.0,8.0,7.0,16.0,0.438,0.0,4.0,0.0,7.0,8.0,0.875,3.0,0.538,26.7,0.438,112.0,112.0,14.5,-0.5,109.7
20.0,4.0,5.0,13.0,0.385,4.0,8.0,0.5,6.0,6.0,1.0,6.0,0.639,25.7,0.538,105.0,124.0,11.1,-1.8,109.1
21.0,5.0,6.0,18.0,0.333,5.0,11.0,0.455,4.0,5.0,0.8,3.0,0.52,27.8,0.472,112.0,118.0,14.3,-2.1,116.7
24.0,4.0,8.0,17.0,0.471,4.0,11.0,0.364,4.0,4.0,1.0,3.0,0.64,29.7,0.588,119.0,98.0,18.3,7.1,110.5
23.0,6.0,7.0,17.0,0.412,1.0,5.0,0.2,8.0,9.0,0.889,0.0,0.549,30.3,0.441,133.0,110.0,18.8,5.9,116.7
26.0,7.0,8.0,14.0,0.571,2.0,3.0,0.667,8.0,8.0,1.0,5.0,0.742,33.1,0.643,120.0,101.0,20.6,7.1,109.4
17.0,7.0,5.0,13.0,0.385,4.0,9.0,0.444,3.0,4.0,0.75,4.0,0.576,21.7,0.538,110.0,118.0,13.0,2.7,106.9
21.0,3.0,8.0,14.0,0.571,2.0,5.0,0.4,3.0,5.0,0.6,4.0,0.648,28.9,0.643,107.0,114.0,13.3,-3.5,112.5
22.0,6.0,6.0,15.0,0.4,3.0,7.0,0.429,7.0,7.0,1.0,1.0,0.608,23.2,0.5,141.0,119.0,17.4,2.0,112.5
10.0,2.0,3.0,10.0,0.3,1.0,6.0,0.167,3.0,3.0,1.0,2.0,0.442,20.9,0.35,89.0,121.0,5.0,-11.0,113.8
25.0,4.0,9.0,16.0,0.563,1.0,3.0,0.333,6.0,8.0,0.75,4.0,0.64,29.3,0.594,116.0,115.0,18.8,2.2,110.5
20.0,5.0,6.0,15.0,0.4,5.0,9.0,0.556,3.0,3.0,1.0,2.0,0.613,25.4,0.567,125.0,107.0,16.4,7.9,112.8
27.0,9.0,9.0,17.0,0.529,4.0,6.0,0.667,5.0,5.0,1.0,6.0,0.703,28.1,0.647,119.0,115.0,20.8,5.7,113.7
27.0,11.0,10.0,19.0,0.526,3.0,7.0,0.429,4.0,4.0,1.0,7.0,0.65,32.6,0.605,111.0,98.0,23.1,10.4,113.7
23.0,7.0,7.0,13.0,0.538,5.0,7.0,0.714,4.0,4.0,1.0,2.0,0.779,24.6,0.731,143.0,98.0,21.7,11.2,106.9
16.0,5.0,3.0,12.0,0.25,2.0,6.0,0.333,8.0,9.0,0.889,3.0,0.501,23.4,0.333,99.0,105.0,14.1,4.2,110.5
34.0,4.0,11.0,22.0,0.5,4.0,9.0,0.444,8.0,8.0,1.0,8.0,0.666,41.0,0.591,104.0,114.0,21.3,4.3,114.9
27.0,7.0,10.0,18.0,0.556,1.0,6.0,0.167,6.0,6.0,1.0,1.0,0.654,23.8,0.583,142.0,110.0,23.9,6.8,109.0
16.0,6.0,6.0,15.0,0.4,1.0,4.0,0.25,3.0,6.0,0.5,1.0,0.454,23.2,0.433,98.0,89.0,13.8,5.4,113.6
34.0,5.0,12.0,20.0,0.6,5.0,7.0,0.714,5.0,5.0,1.0,2.0,0.766,31.7,0.725,150.0,127.0,27.9,7.6,115.3
21.0,4.0,8.0,15.0,0.533,3.0,7.0,0.429,2.0,2.0,1.0,3.0,0.661,24.0,0.633,118.0,126.0,14.5,2.6,109.7
20.0,4.0,7.0,18.0,0.389,1.0,7.0,0.143,5.0,5.0,1.0,3.0,0.495,30.3,0.417,100.0,106.0,12.5,-3.5,110.5
9.0,7.0,4.0,8.0,0.5,1.0,3.0,0.333,0.0,1.0,0.0,3.0,0.533,19.8,0.563,97.0,138.0,10.0,-0.2,112.1
13.0,3.0,4.0,12.0,0.333,2.0,7.0,0.286,3.0,4.0,0.75,1.0,0.472,19.1,0.417,103.0,106.0,8.6,-4.5,114.5
17.0,5.0,6.0,13.0,0.462,2.0,5.0,0.4,3.0,3.0,1.0,1.0,0.594,20.8,0.538,129.0,113.0,14.8,-0.2,110.1
21.0,4.0,8.0,19.0,0.421,3.0,10.0,0.3,2.0,3.0,0.667,4.0,0.517,30.0,0.5,98.0,116.0,10.2,-7.4,113.3
21.0,3.0,9.0,15.0,0.6,1.0,6.0,0.167,2.0,2.0,1.0,2.0,0.661,23.3,0.633,124.0,137.0,13.7,0.7,107.3
16.0,9.0,3.0,15.0,0.2,1.0,8.0,0.125,9.0,10.0,0.9,4.0,0.412,27.7,0.233,88.0,113.0,11.7,-5.2,116.9
19.0,8.0,7.0,12.0,0.583,1.0,4.0,0.25,4.0,4.0,1.0,0.0,0.69,17.8,0.625,158.0,118.0,19.8,7.1,116.1
19.0,2.0,6.0,20.0,0.3,2.0,12.0,0.167,5.0,6.0,0.833,2.0,0.42,27.7,0.35,90.0,126.0,7.1,-9.8,110.8
25.0,7.0,8.0,13.0,0.615,3.0,5.0,0.6,6.0,8.0,0.75,2.0,0.757,22.6,0.731,147.0,129.0,20.9,6.0,112.8
19.0,3.0,5.0,16.0,0.313,3.0,10.0,0.3,6.0,6.0,1.0,1.0,0.51,28.6,0.406,124.0,111.0,12.9,1.1,113.7
26.0,3.0,8.0,20.0,0.4,4.0,8.0,0.5,6.0,6.0,1.0,3.0,0.574,29.6,0.5,110.0,120.0,16.5,1.1,109.1
22.0,7.0,9.0,15.0,0.6,1.0,4.0,0.25,3.0,4.0,0.75,6.0,0.656,24.4,0.633,108.0,112.0,14.2,-1.5,113.6
44.0,5.0,16.0,27.0,0.593,5.0,9.0,0.556,7.0,7.0,1.0,3.0,0.731,38.9,0.685,145.0,125.0,34.6,10.7,107.3
25.0,9.0,9.0,17.0,0.529,4.0,7.0,0.571,3.0,3.0,1.0,1.0,0.682,25.7,0.647,154.0,120.0,21.8,7.4,112.8
23.0,8.0,9.0,17.0,0.529,2.0,6.0,0.333,3.0,3.0,1.0,1.0,0.628,22.9,0.588,135.0,123.0,19.8,5.4,114.9
18.0,6.0,6.0,19.0,0.316,4.0,9.0,0.444,2.0,2.0,1.0,1.0,0.453,26.8,0.421,103.0,125.0,14.1,1.6,106.9
23.0,4.0,7.0,16.0,0.438,2.0,5.0,0.4,7.0,8.0,0.875,4.0,0.589,29.0,0.5,105.0,114.0,14.8,0.4,110.5
32.0,8.0,10.0,20.0,0.5,7.0,10.0,0.7,5.0,5.0,1.0,3.0,0.721,31.2,0.675,140.0,114.0,28.9,13.0,115.3
16.0,5.0,5.0,16.0,0.313,1.0,4.0,0.25,5.0,5.0,1.0,5.0,0.44,33.0,0.344,82.0,129.0,6.0,-8.1,109.0
22.0,7.0,8.0,17.0,0.471,3.0,8.0,0.375,3.0,5.0,0.6,2.0,0.573,23.9,0.559,121.0,117.0,20.6,5.9,110.8
16.0,4.0,4.0,12.0,0.333,2.0,7.0,0.286,6.0,6.0,1.0,4.0,0.546,26.1,0.417,99.0,99.0,11.8,1.8,112.8
11.0,9.0,3.0,14.0,0.214,0.0,4.0,0.0,5.0,6.0,0.833,3.0,0.331,22.8,0.214,86.0,127.0,4.9,-9.3,109.4
22.0,9.0,9.0,18.0,0.5,3.0,8.0,0.375,1.0,1.0,1.0,3.0,0.597,22.3,0.583,120.0,118.0,21.0,4.4,106.9
