PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
21.0,6.0,5.0,11.0,0.455,2.0,6.0,0.333,9.0,11.0,0.818,3.0,0.663,21.6,0.545,133.0,111.0,19.8,8.8,109.1
21.0,9.0,6.0,19.0,0.316,3.0,9.0,0.333,6.0,6.0,1.0,4.0,0.485,24.2,0.395,105.0,114.0,15.2,-0.7,113.6
26.0,11.0,10.0,18.0,0.556,5.0,10.0,0.5,1.0,1.0,1.0,3.0,0.705,26.0,0.694,138.0,125.0,22.5,4.3,114.9
21.0,6.0,7.0,17.0,0.412,6.0,14.0,0.429,1.0,1.0,1.0,3.0,0.602,24.9,0.588,115.0,107.0,14.3,3.3,112.8
25.0,5.0,7.0,14.0,0.5,6.0,11.0,0.545,5.0,6.0,0.833,3.0,0.751,24.3,0.714,130.0,119.0,20.2,6.6,112.1
20.0,2.0,6.0,15.0,0.4,4.0,9.0,0.444,4.0,4.0,1.0,1.0,0.597,23.7,0.533,131.0,132.0,15.2,8.8,113.0
24.0,9.0,8.0,22.0,0.364,5.0,14.0,0.357,3.0,3.0,1.0,2.0,0.515,30.7,0.477,108.0,128.0,16.4,5.8,114.9
26.0,2.0,7.0,15.0,0.467,3.0,8.0,0.375,9.0,10.0,0.9,2.0,0.67,28.3,0.567,136.0,107.0,20.3,8.3,112.3
10.0,4.0,3.0,11.0,0.273,2.0,8.0,0.25,2.0,2.0,1.0,5.0,0.421,18.1,0.364,73.0,111.0,2.8,-10.0,107.3
11.0,7.0,3.0,14.0,0.214,2.0,12.0,0.167,3.0,4.0,0.75,2.0,0.349,17.0,0.286,90.0,105.0,6.8,-7.2,113.3
21.0,3.0,7.0,17.0,0.412,3.0,9.0,0.333,4.0,6.0,0.667,3.0,0.535,29.3,0.5,107.0,117.0,11.4,-0.3,110.1
20.0,7.0,8.0,19.0,0.421,2.0,9.0,0.222,2.0,2.0,1.0,1.0,0.503,20.1,0.474,122.0,123.0,17.1,0.5,113.3
19.0,9.0,7.0,22.0,0.318,3.0,12.0,0.25,2.0,2.0,1.0,1.0,0.415,28.2,0.386,109.0,123.0,14.3,1.9,113.6
14.0,3.0,4.0,13.0,0.308,3.0,9.0,0.333,3.0,3.0,1.0,4.0,0.489,19.4,0.423,88.0,105.0,8.6,-2.2,106.9
12.0,8.0,5.0,15.0,0.333,2.0,7.0,0.286,0.0,1.0,0.0,1.0,0.389,20.3,0.4,103.0,90.0,12.4,5.4,111.7
29.0,7.0,7.0,17.0,0.412,4.0,11.0,0.364,11.0,11.0,1.0,5.0,0.664,28.2,0.529,121.0,118.0,22.6,7.3,109.1
12.0,9.0,4.0,21.0,0.19,2.0,12.0,0.167,2.0,3.0,0.667,3.0,0.269,27.5,0.238,77.0,115.0,2.5,-9.8,114.9
