Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Brandon Ingram,Small,2022-10-19,NOP,BRK,28.0,5.0,10.0,17.0,0.588,2.0,4.0,0.5,6.0,9.0,0.667,4.0,0.668,30.9,0.647,122.0,105.0,20.3,6.1,114.1
Brandon Ingram,Small,2022-10-21,NOP,CHO,28.0,7.0,8.0,16.0,0.5,1.0,1.0,1.0,11.0,11.0,1.0,5.0,0.672,27.5,0.531,125.0,107.0,25.3,7.0,115.3
Brandon Ingram,Small,2022-10-23,NOP,UTA,10.0,0.0,4.0,5.0,0.8,1.0,2.0,0.5,1.0,2.0,0.5,1.0,0.85,26.2,0.9,126.0,110.0,8.0,14.4,116.7
Brandon Ingram,Small,2022-11-04,NOP,GSW,26.0,5.0,8.0,17.0,0.471,3.0,7.0,0.429,7.0,10.0,0.7,4.0,0.607,30.9,0.559,113.0,107.0,17.7,2.8,114.4
Brandon Ingram,Small,2022-11-07,NOP,IND,29.0,2.0,12.0,24.0,0.5,3.0,4.0,0.75,2.0,2.0,1.0,2.0,0.583,30.7,0.563,114.0,130.0,19.6,0.2,117.7
Brandon Ingram,Small,2022-11-09,NOP,CHI,22.0,3.0,8.0,14.0,0.571,1.0,2.0,0.5,5.0,6.0,0.833,4.0,0.661,25.7,0.607,115.0,110.0,15.6,1.3,112.2
Brandon Ingram,Small,2022-11-12,NOP,HOU,20.0,5.0,8.0,19.0,0.421,0.0,4.0,0.0,4.0,4.0,1.0,2.0,0.482,26.0,0.421,104.0,103.0,15.4,-0.4,119.3
Brandon Ingram,Small,2022-11-15,NOP,MEM,19.0,2.0,7.0,15.0,0.467,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.582,20.8,0.533,114.0,109.0,13.2,-1.7,111.2
Brandon Ingram,Small,2022-11-16,NOP,CHI,16.0,9.0,4.0,15.0,0.267,2.0,4.0,0.5,6.0,8.0,0.75,2.0,0.432,28.5,0.333,110.0,113.0,12.3,-2.7,112.2
Brandon Ingram,Small,2022-11-18,NOP,BOS,25.0,7.0,9.0,20.0,0.45,5.0,11.0,0.455,2.0,2.0,1.0,2.0,0.599,27.7,0.575,119.0,126.0,19.7,5.5,111.5
Brandon Ingram,Small,2022-11-21,NOP,GSW,34.0,3.0,12.0,19.0,0.632,3.0,7.0,0.429,7.0,7.0,1.0,2.0,0.77,32.8,0.711,147.0,79.0,30.4,16.3,114.4
Brandon Ingram,Small,2022-11-23,NOP,SAS,17.0,10.0,4.0,9.0,0.444,1.0,3.0,0.333,8.0,8.0,1.0,5.0,0.679,22.7,0.5,122.0,110.0,14.4,-0.1,120.0
Brandon Ingram,Small,2022-11-25,NOP,MEM,8.0,3.0,2.0,6.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,2.0,0.515,23.3,0.333,99.0,136.0,5.6,-7.3,111.2
Brandon Ingram,Small,2023-01-25,NOP,MIN,13.0,5.0,4.0,18.0,0.222,0.0,6.0,0.0,5.0,5.0,1.0,4.0,0.322,41.8,0.222,71.0,114.0,3.6,-12.7,113.8
Brandon Ingram,Small,2023-01-28,NOP,WAS,22.0,4.0,8.0,22.0,0.364,1.0,5.0,0.2,5.0,5.0,1.0,6.0,0.455,45.5,0.386,78.0,112.0,8.2,-7.7,115.6
Brandon Ingram,Small,2023-01-31,NOP,DEN,16.0,9.0,5.0,17.0,0.294,1.0,4.0,0.25,5.0,6.0,0.833,4.0,0.407,31.0,0.324,87.0,121.0,9.7,-4.6,114.2
Brandon Ingram,Small,2023-02-02,NOP,DAL,26.0,7.0,10.0,20.0,0.5,1.0,2.0,0.5,5.0,6.0,0.833,3.0,0.574,31.2,0.525,115.0,115.0,19.7,4.1,116.7
Brandon Ingram,Small,2023-02-04,NOP,LAL,35.0,4.0,15.0,28.0,0.536,0.0,3.0,0.0,5.0,6.0,0.833,3.0,0.571,42.1,0.536,115.0,127.0,21.1,-0.9,113.9
Brandon Ingram,Small,2023-02-07,NOP,ATL,30.0,8.0,11.0,18.0,0.611,0.0,1.0,0.0,8.0,9.0,0.889,5.0,0.683,33.4,0.611,123.0,117.0,23.5,6.3,116.3
Brandon Ingram,Small,2023-02-10,NOP,CLE,25.0,8.0,8.0,15.0,0.533,2.0,2.0,1.0,7.0,8.0,0.875,3.0,0.675,29.1,0.6,130.0,132.0,21.0,9.4,110.6
