Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Chris Paul,Point,2022-10-19,PHO,DAL,6.0,9.0,1.0,6.0,0.167,0.0,2.0,0.0,4.0,4.0,1.0,3.0,0.387,16.0,0.167,91.0,107.0,7.2,-2.2,116.7
Chris Paul,Point,2022-10-25,PHO,GSW,16.0,9.0,5.0,10.0,0.5,4.0,5.0,0.8,2.0,2.0,1.0,2.0,0.735,14.6,0.7,144.0,105.0,16.8,5.8,114.4
Chris Paul,Point,2022-10-28,PHO,NOP,7.0,9.0,1.0,7.0,0.143,0.0,1.0,0.0,5.0,6.0,0.833,3.0,0.363,17.6,0.143,101.0,118.0,7.9,-7.3,112.5
Chris Paul,Point,2022-10-30,PHO,HOU,10.0,15.0,3.0,7.0,0.429,0.0,4.0,0.0,4.0,5.0,0.8,0.0,0.543,13.1,0.429,160.0,127.0,16.3,3.9,119.3
Chris Paul,Point,2022-11-01,PHO,MIN,15.0,12.0,5.0,12.0,0.417,1.0,5.0,0.2,4.0,6.0,0.667,1.0,0.512,20.6,0.458,130.0,103.0,20.2,6.7,113.8
Chris Paul,Point,2022-11-04,PHO,POR,7.0,11.0,1.0,4.0,0.25,1.0,3.0,0.333,4.0,4.0,1.0,0.0,0.608,7.5,0.375,178.0,113.0,14.8,6.8,118.8
Chris Paul,Point,2022-11-05,PHO,POR,15.0,4.0,3.0,7.0,0.429,2.0,4.0,0.5,7.0,7.0,1.0,1.0,0.744,20.2,0.571,152.0,92.0,13.8,5.4,118.8
Chris Paul,Point,2022-12-09,PHO,NOP,24.0,7.0,7.0,14.0,0.5,6.0,9.0,0.667,4.0,4.0,1.0,3.0,0.761,24.5,0.714,137.0,129.0,20.1,4.5,112.5
Chris Paul,Point,2022-12-11,PHO,NOP,6.0,11.0,3.0,10.0,0.3,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.287,16.6,0.3,89.0,126.0,4.4,-10.6,112.5
Chris Paul,Point,2022-12-13,PHO,HOU,16.0,7.0,5.0,17.0,0.294,2.0,10.0,0.2,4.0,4.0,1.0,4.0,0.426,24.1,0.353,87.0,112.0,11.1,-3.4,119.3
Chris Paul,Point,2022-12-15,PHO,LAC,15.0,13.0,6.0,13.0,0.462,2.0,6.0,0.333,1.0,2.0,0.5,1.0,0.54,17.9,0.538,135.0,99.0,21.2,10.1,114.5
Chris Paul,Point,2022-12-17,PHO,NOP,18.0,8.0,6.0,11.0,0.545,5.0,7.0,0.714,1.0,2.0,0.5,2.0,0.758,17.7,0.773,142.0,122.0,17.6,6.2,112.5
Chris Paul,Point,2022-12-19,PHO,LAL,28.0,8.0,9.0,18.0,0.5,3.0,5.0,0.6,7.0,8.0,0.875,0.0,0.651,29.4,0.583,162.0,110.0,26.2,11.0,113.9
Chris Paul,Point,2022-12-20,PHO,WAS,12.0,11.0,3.0,11.0,0.273,1.0,3.0,0.333,5.0,7.0,0.714,3.0,0.426,20.7,0.318,109.0,118.0,12.2,0.2,115.6
Chris Paul,Point,2022-12-25,PHO,DEN,17.0,16.0,6.0,17.0,0.353,0.0,3.0,0.0,5.0,10.0,0.5,0.0,0.397,23.6,0.353,121.0,121.0,19.0,1.8,114.2
Chris Paul,Point,2022-12-28,PHO,WAS,20.0,6.0,8.0,15.0,0.533,3.0,6.0,0.5,1.0,2.0,0.5,4.0,0.63,28.7,0.633,107.0,134.0,15.3,4.2,115.6
Chris Paul,Point,2022-12-30,PHO,TOR,20.0,12.0,6.0,12.0,0.5,3.0,6.0,0.5,5.0,6.0,0.833,6.0,0.683,26.6,0.625,120.0,120.0,18.5,3.7,114.0
Chris Paul,Point,2023-01-02,PHO,NYK,11.0,2.0,4.0,11.0,0.364,1.0,3.0,0.333,2.0,2.0,1.0,0.0,0.463,19.3,0.409,101.0,115.0,8.1,-1.0,114.8
Chris Paul,Point,2023-01-04,PHO,CLE,25.0,8.0,9.0,17.0,0.529,3.0,5.0,0.6,4.0,4.0,1.0,1.0,0.666,23.2,0.618,134.0,98.0,23.3,11.6,110.6
Chris Paul,Point,2023-01-22,PHO,MEM,22.0,11.0,8.0,18.0,0.444,3.0,9.0,0.333,3.0,3.0,1.0,5.0,0.569,26.5,0.528,105.0,100.0,20.4,6.9,111.2
Chris Paul,Point,2023-01-28,PHO,SAS,31.0,11.0,12.0,20.0,0.6,1.0,4.0,0.25,6.0,6.0,1.0,1.0,0.685,25.9,0.625,150.0,109.0,32.6,14.0,120.0
Chris Paul,Point,2023-01-30,PHO,TOR,19.0,9.0,5.0,11.0,0.455,4.0,7.0,0.571,5.0,5.0,1.0,3.0,0.72,20.7,0.636,137.0,119.0,18.0,6.2,114.0
