Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Nikola Jokic,Center,2022-10-19,DEN,UTA,27.0,6.0,12.0,17.0,0.706,1.0,3.0,0.333,2.0,2.0,1.0,3.0,0.755,26.8,0.735,136.0,119.0,24.5,13.7,116.7
Nikola Jokic,Center,2022-10-21,DEN,GSW,26.0,10.0,7.0,13.0,0.538,1.0,2.0,0.5,11.0,11.0,1.0,5.0,0.729,27.2,0.577,138.0,119.0,24.9,7.2,114.4
Nikola Jokic,Center,2022-10-22,DEN,OKC,19.0,13.0,6.0,10.0,0.6,1.0,1.0,1.0,6.0,9.0,0.667,3.0,0.681,18.0,0.65,142.0,105.0,25.4,11.7,114.2
Nikola Jokic,Center,2022-10-26,DEN,LAL,31.0,9.0,12.0,17.0,0.706,0.0,4.0,0.0,7.0,7.0,1.0,3.0,0.772,28.4,0.706,141.0,89.0,34.3,20.2,113.9
Nikola Jokic,Center,2022-10-28,DEN,UTA,12.0,6.0,3.0,10.0,0.3,0.0,4.0,0.0,6.0,8.0,0.75,1.0,0.444,24.4,0.3,125.0,98.0,14.1,8.0,116.7
Nikola Jokic,Center,2022-10-30,DEN,LAL,23.0,6.0,8.0,16.0,0.5,1.0,5.0,0.2,6.0,7.0,0.857,2.0,0.603,25.0,0.531,130.0,120.0,24.0,9.4,113.9
Nikola Jokic,Center,2022-11-05,DEN,SAS,21.0,10.0,9.0,10.0,0.9,1.0,1.0,1.0,2.0,2.0,1.0,4.0,0.965,25.0,0.95,150.0,100.0,23.6,19.3,120.0
Nikola Jokic,Center,2022-11-07,DEN,SAS,26.0,10.0,11.0,20.0,0.55,0.0,1.0,0.0,4.0,5.0,0.8,4.0,0.586,31.7,0.55,115.0,99.0,25.1,10.5,120.0
Nikola Jokic,Center,2022-11-09,DEN,IND,24.0,6.0,10.0,20.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,1.0,0.563,43.3,0.525,123.0,104.0,19.5,13.2,117.7
Nikola Jokic,Center,2022-11-11,DEN,BOS,29.0,3.0,12.0,20.0,0.6,2.0,4.0,0.5,3.0,4.0,0.75,2.0,0.666,36.3,0.65,127.0,141.0,21.5,7.8,111.5
