Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Bradley Beal,Shooting,2022-10-19,WAS,IND,23.0,6.0,9.0,17.0,0.529,2.0,7.0,0.286,3.0,3.0,1.0,3.0,0.628,23.0,0.588,126.0,110.0,18.1,3.4,117.7
Bradley Beal,Shooting,2022-10-23,WAS,CLE,27.0,5.0,11.0,16.0,0.688,0.0,1.0,0.0,5.0,7.0,0.714,6.0,0.708,28.6,0.688,111.0,117.0,19.3,2.5,110.6
Bradley Beal,Shooting,2022-10-25,WAS,DET,13.0,6.0,4.0,9.0,0.444,1.0,4.0,0.25,4.0,4.0,1.0,2.0,0.604,26.1,0.5,125.0,107.0,11.3,1.4,118.9
Bradley Beal,Shooting,2022-10-28,WAS,IND,31.0,4.0,11.0,18.0,0.611,2.0,5.0,0.4,7.0,7.0,1.0,2.0,0.735,26.7,0.667,142.0,118.0,29.0,11.9,117.7
Bradley Beal,Shooting,2022-10-30,WAS,BOS,12.0,8.0,4.0,16.0,0.25,2.0,7.0,0.286,2.0,2.0,1.0,1.0,0.355,20.3,0.313,90.0,118.0,9.0,-0.6,111.5
Bradley Beal,Shooting,2022-10-31,WAS,PHI,20.0,6.0,7.0,18.0,0.389,2.0,6.0,0.333,4.0,4.0,1.0,4.0,0.506,28.0,0.444,97.0,123.0,11.4,-6.2,113.3
Bradley Beal,Shooting,2022-11-02,WAS,PHI,29.0,5.0,11.0,17.0,0.647,1.0,2.0,0.5,6.0,7.0,0.857,1.0,0.722,28.0,0.676,144.0,128.0,23.4,2.6,113.3
Bradley Beal,Shooting,2022-11-04,WAS,BRK,20.0,3.0,8.0,18.0,0.444,2.0,6.0,0.333,2.0,2.0,1.0,0.0,0.53,29.0,0.5,108.0,127.0,15.9,8.8,114.1
Bradley Beal,Shooting,2022-11-16,WAS,OKC,25.0,6.0,9.0,19.0,0.474,2.0,4.0,0.5,5.0,5.0,1.0,1.0,0.59,25.6,0.526,135.0,124.0,22.4,3.2,114.2
Bradley Beal,Shooting,2022-11-18,WAS,MIA,27.0,8.0,9.0,18.0,0.5,5.0,9.0,0.556,4.0,4.0,1.0,7.0,0.683,25.0,0.639,102.0,105.0,17.4,0.4,113.3
Bradley Beal,Shooting,2022-11-20,WAS,CHO,26.0,5.0,11.0,21.0,0.524,3.0,7.0,0.429,1.0,2.0,0.5,5.0,0.594,27.0,0.595,104.0,95.0,18.4,4.4,115.3
Bradley Beal,Shooting,2022-11-25,WAS,MIA,28.0,5.0,11.0,20.0,0.55,4.0,7.0,0.571,2.0,3.0,0.667,1.0,0.657,24.9,0.65,133.0,113.0,24.7,11.4,113.3
Bradley Beal,Shooting,2022-11-27,WAS,BOS,30.0,4.0,11.0,19.0,0.579,0.0,3.0,0.0,8.0,9.0,0.889,2.0,0.653,34.3,0.579,129.0,137.0,25.0,3.9,111.5
Bradley Beal,Shooting,2022-11-28,WAS,MIN,22.0,5.0,9.0,14.0,0.643,1.0,4.0,0.25,3.0,3.0,1.0,3.0,0.718,23.4,0.679,126.0,127.0,17.4,-1.9,113.8
Bradley Beal,Shooting,2022-11-30,WAS,BRK,25.0,6.0,9.0,20.0,0.45,1.0,6.0,0.167,6.0,9.0,0.667,5.0,0.522,30.5,0.475,103.0,120.0,15.3,0.5,114.1
Bradley Beal,Shooting,2022-12-02,WAS,CHO,33.0,7.0,12.0,24.0,0.5,2.0,8.0,0.25,7.0,8.0,0.875,3.0,0.6,31.9,0.542,131.0,128.0,24.9,5.1,115.3
Bradley Beal,Shooting,2022-12-18,WAS,LAL,29.0,3.0,9.0,17.0,0.529,0.0,3.0,0.0,11.0,13.0,0.846,3.0,0.638,33.8,0.529,121.0,121.0,18.8,0.8,113.9
Bradley Beal,Shooting,2022-12-20,WAS,PHO,27.0,6.0,8.0,20.0,0.4,0.0,2.0,0.0,11.0,14.0,0.786,2.0,0.516,36.4,0.4,116.0,119.0,21.1,1.2,113.0
Bradley Beal,Shooting,2022-12-22,WAS,UTA,30.0,5.0,13.0,20.0,0.65,0.0,3.0,0.0,4.0,4.0,1.0,2.0,0.689,36.9,0.65,132.0,128.0,23.8,5.4,116.7
Bradley Beal,Shooting,2022-12-23,WAS,SAC,24.0,4.0,10.0,16.0,0.625,2.0,4.0,0.5,2.0,3.0,0.667,3.0,0.693,26.5,0.688,117.0,118.0,16.7,1.0,116.8
Bradley Beal,Shooting,2023-01-03,WAS,MIL,8.0,4.0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.508,30.4,0.429,103.0,117.0,7.8,7.2,111.9
Bradley Beal,Shooting,2023-01-18,WAS,NYK,18.0,4.0,7.0,11.0,0.636,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.731,20.6,0.682,140.0,117.0,16.2,6.3,114.8
Bradley Beal,Shooting,2023-01-21,WAS,ORL,17.0,8.0,7.0,14.0,0.5,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.589,23.4,0.571,134.0,122.0,15.0,1.2,114.2
Bradley Beal,Shooting,2023-01-24,WAS,DAL,22.0,4.0,7.0,17.0,0.412,2.0,2.0,1.0,6.0,9.0,0.667,2.0,0.525,32.9,0.471,104.0,129.0,11.2,-7.1,116.7
Bradley Beal,Shooting,2023-01-25,WAS,HOU,17.0,4.0,7.0,17.0,0.412,0.0,3.0,0.0,3.0,4.0,0.75,2.0,0.453,29.2,0.412,93.0,114.0,9.2,-8.2,119.3
Bradley Beal,Shooting,2023-01-28,WAS,NOP,16.0,5.0,5.0,17.0,0.294,2.0,6.0,0.333,4.0,5.0,0.8,5.0,0.417,30.6,0.353,83.0,107.0,6.1,-6.5,112.5
Bradley Beal,Shooting,2023-01-30,WAS,SAS,21.0,7.0,8.0,14.0,0.571,3.0,6.0,0.5,2.0,2.0,1.0,2.0,0.706,25.5,0.679,133.0,105.0,20.4,7.4,120.0
Bradley Beal,Shooting,2023-02-03,WAS,POR,34.0,1.0,14.0,25.0,0.56,4.0,10.0,0.4,2.0,2.0,1.0,1.0,0.657,38.5,0.64,130.0,143.0,22.7,4.2,118.8
Bradley Beal,Shooting,2023-02-08,WAS,CHO,17.0,10.0,7.0,15.0,0.467,1.0,5.0,0.2,2.0,2.0,1.0,3.0,0.535,25.2,0.5,117.0,106.0,16.8,5.8,115.3
Bradley Beal,Shooting,2023-02-11,WAS,IND,32.0,6.0,13.0,18.0,0.722,4.0,5.0,0.8,2.0,2.0,1.0,5.0,0.847,36.7,0.833,136.0,126.0,25.5,9.1,117.7
Bradley Beal,Shooting,2023-02-13,WAS,GSW,33.0,4.0,13.0,23.0,0.565,3.0,8.0,0.375,4.0,5.0,0.8,4.0,0.655,38.1,0.63,122.0,143.0,22.0,-3.4,114.4
Bradley Beal,Shooting,2023-02-14,WAS,POR,19.0,4.0,7.0,15.0,0.467,1.0,5.0,0.2,4.0,5.0,0.8,2.0,0.552,27.3,0.5,110.0,109.0,12.5,-5.0,118.8
Bradley Beal,Shooting,2023-02-16,WAS,MIN,35.0,5.0,14.0,28.0,0.5,4.0,8.0,0.5,3.0,3.0,1.0,4.0,0.597,39.3,0.571,112.0,101.0,24.9,8.8,113.8
Bradley Beal,Shooting,2023-02-24,WAS,NYK,16.0,8.0,6.0,14.0,0.429,1.0,4.0,0.25,3.0,3.0,1.0,5.0,0.522,27.2,0.464,97.0,119.0,10.6,-4.0,114.8
Bradley Beal,Shooting,2023-02-26,WAS,CHI,18.0,8.0,7.0,17.0,0.412,1.0,3.0,0.333,3.0,7.0,0.429,3.0,0.448,29.6,0.441,95.0,120.0,12.4,1.8,112.2
Bradley Beal,Shooting,2023-02-28,WAS,ATL,37.0,7.0,17.0,30.0,0.567,1.0,4.0,0.25,2.0,2.0,1.0,2.0,0.599,39.6,0.583,129.0,126.0,26.8,9.6,116.3
Bradley Beal,Shooting,2023-03-02,WAS,TOR,15.0,5.0,5.0,14.0,0.357,3.0,4.0,0.75,2.0,3.0,0.667,4.0,0.49,24.1,0.464,90.0,114.0,6.6,-8.2,114.0
