Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Paul George,Small,2022-10-20,LAC,LAL,15.0,4.0,4.0,12.0,0.333,2.0,7.0,0.286,5.0,6.0,0.833,5.0,0.512,22.5,0.417,90.0,91.0,9.0,-1.5,113.9
Paul George,Small,2022-10-22,LAC,SAC,40.0,6.0,16.0,31.0,0.516,3.0,10.0,0.3,5.0,5.0,1.0,4.0,0.602,44.6,0.565,113.0,111.0,29.4,8.3,116.8
Paul George,Small,2022-10-23,LAC,PHO,16.0,4.0,4.0,11.0,0.364,2.0,6.0,0.333,6.0,6.0,1.0,2.0,0.587,21.3,0.455,115.0,114.0,14.0,3.9,113.0
Paul George,Small,2022-10-27,LAC,OKC,10.0,3.0,4.0,12.0,0.333,0.0,4.0,0.0,2.0,2.0,1.0,3.0,0.388,22.6,0.333,80.0,125.0,4.0,-12.8,114.2
Paul George,Small,2022-10-30,LAC,NOP,14.0,3.0,5.0,19.0,0.263,2.0,8.0,0.25,2.0,2.0,1.0,4.0,0.352,39.0,0.316,67.0,120.0,1.9,-12.5,112.5
Paul George,Small,2022-10-31,LAC,HOU,35.0,8.0,15.0,26.0,0.577,5.0,10.0,0.5,0.0,1.0,0.0,3.0,0.662,34.6,0.673,120.0,78.0,33.9,24.3,119.3
Paul George,Small,2022-11-02,LAC,HOU,28.0,5.0,10.0,20.0,0.5,3.0,8.0,0.375,5.0,6.0,0.833,5.0,0.618,33.9,0.575,110.0,109.0,18.3,0.7,119.3
Paul George,Small,2022-11-04,LAC,SAS,32.0,6.0,11.0,16.0,0.688,4.0,6.0,0.667,6.0,7.0,0.857,5.0,0.839,29.5,0.813,132.0,108.0,24.8,7.6,120.0
Paul George,Small,2022-11-06,LAC,UTA,34.0,4.0,11.0,22.0,0.5,5.0,14.0,0.357,7.0,8.0,0.875,5.0,0.666,36.4,0.614,111.0,113.0,21.8,5.3,116.7
Paul George,Small,2022-11-07,LAC,CLE,26.0,3.0,10.0,20.0,0.5,5.0,11.0,0.455,1.0,3.0,0.333,1.0,0.61,26.9,0.625,117.0,123.0,18.0,1.5,110.6
Paul George,Small,2022-11-09,LAC,LAL,29.0,4.0,10.0,17.0,0.588,2.0,7.0,0.286,7.0,9.0,0.778,4.0,0.692,30.7,0.647,118.0,101.0,22.1,5.6,113.9
Paul George,Small,2022-11-12,LAC,BRK,17.0,4.0,5.0,21.0,0.238,1.0,6.0,0.167,6.0,7.0,0.857,2.0,0.353,33.4,0.262,79.0,113.0,6.1,-7.2,114.1
Paul George,Small,2022-11-14,LAC,HOU,22.0,5.0,7.0,18.0,0.389,2.0,7.0,0.286,6.0,8.0,0.75,1.0,0.511,33.3,0.444,116.0,99.0,17.9,3.5,119.3
Paul George,Small,2022-11-15,LAC,DAL,23.0,6.0,7.0,13.0,0.538,1.0,3.0,0.333,8.0,8.0,1.0,10.0,0.696,31.8,0.577,94.0,110.0,13.4,-4.9,116.7
Paul George,Small,2022-11-17,LAC,DET,16.0,3.0,5.0,18.0,0.278,3.0,6.0,0.5,3.0,3.0,1.0,4.0,0.414,28.5,0.361,82.0,91.0,6.0,-3.3,118.9
Paul George,Small,2022-12-05,LAC,CHO,19.0,7.0,8.0,15.0,0.533,2.0,4.0,0.5,1.0,1.0,1.0,2.0,0.615,26.2,0.6,126.0,124.0,15.5,3.9,115.3
Paul George,Small,2022-12-07,LAC,ORL,11.0,5.0,3.0,12.0,0.25,2.0,6.0,0.333,3.0,3.0,1.0,4.0,0.413,23.2,0.333,85.0,110.0,6.7,-4.9,114.2
