PTS,OPP DRTG
31.0,115.8
34.0,118.8
26.0,117.5
18.0,118.8
22.0,114.6
22.0,119.6
25.0,111.6
29.0,118.8
50.0,118.0
27.0,118.0
20.0,111.6
19.0,119.4
25.0,116.1
30.0,112.7
16.0,109.0
28.0,112.1
31.0,115.3
33.0,112.9
26.0,119.6
30.0,119.4
24.0,119.6
9.0,118.8
19.0,118.8
29.0,116.3
35.0,109.0
33.0,118.8
12.0,112.2
23.0,111.3
42.0,113.4
20.0,116.3
21.0,116.3
27.0,113.4
25.0,120.4
35.0,119.4
21.0,115.2
27.0,113.4
25.0,113.0
32.0,111.3
16.0,119.8
18.0,116.4
22.0,118.0
51.0,120.4
23.0,116.1
15.0,115.4
28.0,119.6
22.0,112.7
30.0,112.2
35.0,113.4
24.0,112.7
24.0,115.8
32.0,111.6
33.0,119.8
24.0,115.4
17.0,113.4
30.0,115.8
30.0,119.8
30.0,112.2
27.0,115.3
24.0,115.4
29.0,115.2
26.0,115.4
16.0,112.7
37.0,112.2
7.0,114.3
52.0,116.4
28.0,111.3
26.0,116.1
