PTS,OPP DRTG
34.0,113.4
22.0,112.2
33.0,119.6
30.0,118.0
32.0,116.1
32.0,109.0
16.0,113.8
23.0,116.1
27.0,118.8
35.0,113.4
29.0,113.8
20.0,114.3
45.0,119.8
23.0,115.8
26.0,111.3
34.0,119.4
21.0,116.3
21.0,113.8
32.0,118.0
25.0,113.4
25.0,112.7
27.0,112.7
30.0,111.3
23.0,111.3
15.0,115.2
30.0,115.4
25.0,115.3
31.0,118.8
30.0,112.1
30.0,120.4
38.0,118.0
45.0,109.0
7.0,115.8
27.0,113.4
19.0,118.8
24.0,116.4
22.0,113.0
18.0,113.4
39.0,115.4
26.0,112.2
21.0,115.4
28.0,112.9
30.0,118.0
23.0,115.3
34.0,114.3
20.0,119.4
35.0,119.6
26.0,112.2
41.0,116.1
20.0,116.1
25.0,116.3
19.0,113.4
29.0,113.8
32.0,115.4
27.0,115.2
26.0,112.7
15.0,113.0
29.0,114.6
26.0,117.5
38.0,120.4
26.0,114.6
30.0,119.6
31.0,115.8
26.0,116.3
37.0,119.4
31.0,119.4
25.0,119.8
24.0,112.1
17.0,115.2
18.0,113.4
