PTS,OPP DRTG
27.0,117.5
36.0,120.4
19.0,116.4
27.0,111.3
35.0,115.3
10.0,113.4
24.0,116.1
8.0,115.4
26.0,114.3
35.0,113.0
23.0,113.4
28.0,116.4
24.0,116.4
34.0,112.9
25.0,115.4
6.0,113.0
19.0,115.2
25.0,115.2
25.0,113.0
20.0,120.4
20.0,117.5
9.0,115.2
27.0,118.0
22.0,112.1
23.0,114.3
23.0,112.2
33.0,114.6
22.0,115.3
25.0,114.6
37.0,114.3
16.0,109.0
38.0,112.1
21.0,118.8
17.0,111.6
13.0,112.7
15.0,112.2
18.0,119.4
7.0,112.9
33.0,118.8
18.0,109.0
24.0,115.2
14.0,114.3
22.0,119.6
15.0,109.0
29.0,115.8
21.0,113.4
22.0,116.3
22.0,109.0
26.0,112.9
26.0,119.4
27.0,117.5
31.0,117.5
22.0,113.8
12.0,111.3
41.0,119.8
18.0,115.2
28.0,113.0
14.0,120.4
39.0,112.7
23.0,114.6
10.0,120.4
