PTS,OPP DRTG
18.0,115.2
39.0,115.3
26.0,120.4
26.0,116.4
28.0,116.4
31.0,113.8
41.0,118.8
25.0,116.3
38.0,115.3
28.0,112.1
31.0,109.0
38.0,120.4
39.0,120.4
31.0,117.5
32.0,115.2
30.0,118.8
30.0,113.0
27.0,114.3
31.0,115.3
27.0,116.1
29.0,113.4
28.0,119.6
40.0,117.5
28.0,115.2
16.0,115.4
27.0,113.4
21.0,119.8
31.0,111.3
23.0,114.3
30.0,115.4
18.0,115.3
21.0,117.5
27.0,115.2
26.0,112.9
43.0,116.3
12.0,115.4
20.0,112.2
33.0,116.1
35.0,119.4
18.0,119.6
28.0,115.8
31.0,120.4
24.0,115.2
28.0,115.2
25.0,118.8
23.0,115.4
28.0,113.4
22.0,115.3
24.0,113.4
30.0,113.4
20.0,112.1
35.0,113.0
35.0,118.8
45.0,111.6
37.0,112.7
20.0,111.6
13.0,119.8
11.0,115.8
19.0,119.4
29.0,116.4
30.0,113.0
26.0,112.1
20.0,112.9
32.0,112.7
22.0,109.0
23.0,112.9
21.0,115.4
24.0,115.4
28.0,115.2
15.0,109.0
