PTS,OPP DRTG
15.0,111.6
31.0,119.4
14.0,112.9
19.0,112.7
24.0,112.7
45.0,115.8
7.0,115.4
25.0,116.4
20.0,119.8
26.0,111.6
24.0,119.4
32.0,119.6
32.0,119.8
25.0,109.0
24.0,112.2
35.0,114.6
12.0,119.8
42.0,118.8
22.0,118.8
24.0,115.8
23.0,111.6
21.0,118.8
23.0,120.4
50.0,114.6
22.0,115.4
29.0,115.3
16.0,116.1
36.0,115.8
38.0,115.8
24.0,112.1
20.0,111.3
28.0,118.0
16.0,109.0
31.0,116.3
29.0,113.8
33.0,119.6
12.0,117.5
30.0,115.4
30.0,113.4
41.0,119.6
38.0,118.8
30.0,116.1
21.0,113.0
32.0,112.2
32.0,119.8
29.0,120.4
40.0,118.0
36.0,115.3
27.0,114.3
39.0,118.0
27.0,113.4
33.0,111.3
21.0,113.8
34.0,111.6
35.0,118.8
27.0,115.2
19.0,113.8
20.0,113.8
45.0,117.5
42.0,115.2
34.0,115.2
26.0,113.0
28.0,118.8
26.0,118.8
61.0,116.4
30.0,112.1
20.0,112.2
35.0,115.2
35.0,116.3
43.0,115.8
45.0,116.3
39.0,111.6
30.0,116.1
40.0,116.3
