PTS,OPP DRTG
25.0,120.4
21.0,116.4
8.0,111.3
38.0,115.3
17.0,116.1
26.0,115.4
14.0,114.3
15.0,113.0
26.0,113.4
21.0,116.4
26.0,116.4
20.0,112.9
8.0,115.4
31.0,113.0
34.0,115.2
23.0,115.2
41.0,120.4
34.0,117.5
31.0,115.2
27.0,115.2
36.0,113.4
28.0,118.0
30.0,115.4
24.0,112.2
30.0,114.6
19.0,112.9
15.0,115.3
29.0,118.8
26.0,109.0
16.0,112.1
21.0,116.1
25.0,115.3
26.0,111.6
30.0,112.7
31.0,119.6
33.0,118.8
25.0,112.2
36.0,119.4
15.0,112.9
24.0,118.8
18.0,109.0
20.0,112.1
24.0,114.3
20.0,115.2
26.0,115.3
27.0,119.6
32.0,109.0
16.0,115.8
28.0,113.4
19.0,116.3
6.0,109.0
27.0,116.3
23.0,112.9
28.0,119.4
24.0,117.5
22.0,117.5
20.0,113.8
26.0,118.0
17.0,113.8
29.0,111.3
23.0,119.8
