PTS,OPP DRTG
19.0,114.3
26.0,113.4
16.0,119.4
22.0,113.0
24.0,109.0
31.0,113.4
20.0,115.4
25.0,115.4
21.0,113.0
30.0,109.0
31.0,115.2
23.0,115.2
30.0,115.4
26.0,120.4
25.0,120.4
15.0,113.8
14.0,116.4
30.0,115.2
9.0,115.3
20.0,109.0
40.0,119.6
8.0,119.8
26.0,116.4
34.0,114.3
17.0,112.7
19.0,113.4
24.0,114.3
26.0,120.4
26.0,115.3
19.0,109.0
12.0,115.4
15.0,115.2
13.0,115.2
9.0,113.0
12.0,115.4
28.0,119.8
17.0,114.6
18.0,120.4
26.0,115.8
28.0,111.6
24.0,113.4
19.0,116.4
41.0,118.8
15.0,115.4
22.0,115.3
17.0,117.5
16.0,114.3
18.0,119.6
22.0,116.3
24.0,113.4
30.0,118.0
34.0,118.0
12.0,118.8
17.0,113.8
7.0,119.4
20.0,112.7
13.0,115.4
22.0,117.5
11.0,116.1
