PTS,OPP DRTG
21.0,113.0
21.0,114.6
27.0,115.2
19.0,111.3
35.0,115.4
24.0,111.3
30.0,112.2
18.0,113.4
32.0,114.6
16.0,114.3
28.0,115.2
35.0,117.5
37.0,113.4
17.0,120.4
26.0,115.4
22.0,112.7
18.0,113.8
25.0,118.8
21.0,112.1
16.0,113.4
31.0,114.6
30.0,112.9
33.0,115.4
23.0,116.4
25.0,113.4
25.0,116.3
40.0,112.1
16.0,111.6
17.0,119.8
26.0,109.0
34.0,112.9
32.0,114.3
25.0,115.4
22.0,118.8
10.0,114.6
25.0,112.1
25.0,115.4
24.0,116.1
28.0,117.5
25.0,116.3
36.0,115.2
23.0,113.4
20.0,119.4
24.0,113.4
26.0,119.8
25.0,113.0
21.0,112.9
25.0,118.8
30.0,116.4
28.0,114.6
34.0,115.4
31.0,119.6
26.0,113.0
19.0,112.1
31.0,115.2
29.0,109.0
18.0,115.2
40.0,115.2
25.0,119.4
20.0,113.8
26.0,118.0
23.0,114.3
16.0,118.0
40.0,116.1
23.0,118.8
25.0,119.6
24.0,112.7
33.0,115.2
37.0,114.3
28.0,112.9
