PTS,OPP DRTG
23.0,119.8
18.0,113.4
20.0,115.8
24.0,109.0
23.0,119.6
22.0,112.9
22.0,112.1
41.0,111.3
27.0,112.2
15.0,113.4
22.0,113.8
38.0,118.0
43.0,116.1
26.0,119.6
33.0,111.6
13.0,112.7
45.0,116.4
32.0,115.8
30.0,116.1
19.0,113.0
35.0,118.8
38.0,118.8
35.0,112.7
31.0,118.8
30.0,113.4
30.0,112.2
30.0,114.3
21.0,116.3
24.0,115.2
40.0,119.6
24.0,112.1
13.0,118.0
31.0,111.3
28.0,113.8
13.0,118.0
21.0,119.6
36.0,116.4
18.0,111.3
30.0,115.4
30.0,118.8
26.0,115.3
32.0,114.6
35.0,115.2
25.0,115.4
20.0,111.6
37.0,113.8
18.0,113.4
19.0,116.3
12.0,119.8
11.0,118.8
14.0,119.8
19.0,109.0
12.0,118.0
