PTS,OPP DRTG
26.0,118.8
19.0,112.2
31.0,119.4
24.0,113.0
31.0,120.4
38.0,111.6
26.0,112.9
28.0,116.4
33.0,115.2
20.0,115.2
13.0,114.6
23.0,113.4
31.0,113.8
35.0,115.2
24.0,114.3
21.0,112.1
17.0,116.4
9.0,115.4
37.0,118.0
32.0,112.2
27.0,113.8
27.0,115.3
34.0,115.2
25.0,112.1
44.0,115.4
31.0,115.3
35.0,113.4
35.0,112.9
24.0,113.4
36.0,115.4
6.0,111.3
29.0,111.6
9.0,117.5
33.0,115.4
27.0,118.8
28.0,114.3
19.0,112.1
9.0,119.8
38.0,119.6
24.0,116.1
32.0,116.4
27.0,112.1
9.0,115.4
22.0,111.3
32.0,113.4
38.0,116.3
26.0,115.8
23.0,115.4
41.0,117.5
34.0,117.5
28.0,115.8
29.0,116.1
34.0,116.4
34.0,114.3
11.0,115.2
27.0,115.4
13.0,117.5
44.0,118.0
19.0,112.7
25.0,115.3
37.0,115.4
31.0,120.4
32.0,120.4
30.0,113.0
16.0,112.7
23.0,115.2
9.0,118.8
25.0,113.0
22.0,116.3
21.0,113.4
28.0,118.8
17.0,114.6
26.0,115.3
51.0,119.6
25.0,113.0
14.0,119.4
13.0,114.6
