Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Kyrie Irving,Point,2023-10-25,DAL,SAS,22.0,6.0,10.0,24.0,0.417,1.0,8.0,0.125,1.0,1.0,1.0,2.0,0.45,28.9,0.438,100.0,114.0,11.8,-5.1,116.4
Kyrie Irving,Point,2023-10-27,DAL,BRK,17.0,6.0,6.0,17.0,0.353,1.0,4.0,0.25,4.0,4.0,1.0,0.0,0.453,23.6,0.382,113.0,122.0,13.4,-2.8,116.1
Kyrie Irving,Point,2023-11-03,DAL,DEN,22.0,7.0,9.0,15.0,0.6,1.0,5.0,0.2,3.0,4.0,0.75,3.0,0.656,25.1,0.633,124.0,124.0,21.9,8.9,113.0
Kyrie Irving,Point,2023-11-05,DAL,CHO,18.0,10.0,6.0,14.0,0.429,2.0,6.0,0.333,4.0,4.0,1.0,2.0,0.571,21.8,0.5,124.0,113.0,17.0,3.6,119.8
Kyrie Irving,Point,2023-11-06,DAL,ORL,21.0,10.0,8.0,20.0,0.4,2.0,6.0,0.333,3.0,5.0,0.6,3.0,0.473,30.2,0.45,106.0,97.0,17.8,4.1,111.3
Kyrie Irving,Point,2023-11-08,DAL,TOR,22.0,5.0,8.0,19.0,0.421,3.0,7.0,0.429,3.0,3.0,1.0,1.0,0.541,25.3,0.5,113.0,126.0,14.8,-2.4,118.8
Kyrie Irving,Point,2023-11-10,DAL,LAC,27.0,3.0,8.0,19.0,0.421,5.0,9.0,0.556,6.0,6.0,1.0,2.0,0.624,34.2,0.553,136.0,125.0,21.6,7.9,115.4
Kyrie Irving,Point,2023-11-12,DAL,NOP,35.0,7.0,13.0,20.0,0.65,7.0,10.0,0.7,2.0,2.0,1.0,1.0,0.838,30.9,0.825,162.0,119.0,32.6,22.4,112.9
Kyrie Irving,Point,2023-11-14,DAL,NOP,17.0,6.0,6.0,13.0,0.462,3.0,7.0,0.429,2.0,4.0,0.5,1.0,0.576,24.2,0.577,131.0,134.0,13.3,5.3,112.9
Kyrie Irving,Point,2023-11-18,DAL,MIL,39.0,6.0,16.0,29.0,0.552,3.0,10.0,0.3,4.0,4.0,1.0,2.0,0.634,39.1,0.603,129.0,126.0,28.3,10.1,115.8
Kyrie Irving,Point,2023-11-19,DAL,SAC,23.0,1.0,8.0,17.0,0.471,2.0,6.0,0.333,5.0,5.0,1.0,1.0,0.599,26.8,0.529,120.0,141.0,13.8,-3.8,115.2
Kyrie Irving,Point,2023-11-22,DAL,LAL,28.0,2.0,11.0,22.0,0.5,4.0,8.0,0.5,2.0,2.0,1.0,2.0,0.612,32.1,0.591,114.0,106.0,20.6,9.8,115.3
Kyrie Irving,Point,2023-11-25,DAL,LAC,26.0,3.0,11.0,22.0,0.5,3.0,7.0,0.429,1.0,1.0,1.0,1.0,0.579,32.9,0.568,114.0,113.0,17.7,10.5,115.4
Kyrie Irving,Point,2023-11-28,DAL,HOU,27.0,5.0,8.0,22.0,0.364,2.0,7.0,0.286,9.0,9.0,1.0,0.0,0.52,32.1,0.409,123.0,121.0,20.6,4.2,113.4
Kyrie Irving,Point,2023-12-01,DAL,MEM,10.0,5.0,3.0,15.0,0.2,0.0,5.0,0.0,4.0,5.0,0.8,1.0,0.291,21.7,0.2,75.0,120.0,3.5,-14.2,114.3
Kyrie Irving,Point,2024-01-01,DAL,UTA,14.0,4.0,6.0,14.0,0.429,2.0,3.0,0.667,0.0,1.0,0.0,1.0,0.485,20.3,0.5,96.0,121.0,10.6,-2.5,120.4
Kyrie Irving,Point,2024-01-03,DAL,POR,29.0,5.0,10.0,19.0,0.526,4.0,8.0,0.5,5.0,6.0,0.833,1.0,0.67,33.2,0.632,135.0,89.0,26.9,14.2,117.5
Kyrie Irving,Point,2024-01-05,DAL,POR,24.0,5.0,10.0,18.0,0.556,3.0,7.0,0.429,1.0,1.0,1.0,1.0,0.651,27.0,0.639,133.0,87.0,24.0,9.6,117.5
Kyrie Irving,Point,2024-01-07,DAL,MIN,35.0,5.0,14.0,27.0,0.519,6.0,8.0,0.75,1.0,1.0,1.0,3.0,0.638,32.4,0.63,131.0,111.0,30.2,17.9,109.0
Kyrie Irving,Point,2024-01-09,DAL,MEM,33.0,4.0,11.0,25.0,0.44,2.0,7.0,0.286,9.0,10.0,0.9,3.0,0.561,36.6,0.48,114.0,119.0,26.8,7.4,114.3
Kyrie Irving,Point,2024-01-11,DAL,NYK,44.0,10.0,15.0,26.0,0.577,6.0,10.0,0.6,8.0,9.0,0.889,5.0,0.734,38.2,0.692,136.0,124.0,35.4,13.4,113.4
Kyrie Irving,Point,2024-01-13,DAL,NOP,33.0,6.0,12.0,27.0,0.444,5.0,14.0,0.357,4.0,4.0,1.0,1.0,0.574,34.5,0.537,123.0,131.0,23.8,5.0,112.9
Kyrie Irving,Point,2024-01-15,DAL,NOP,42.0,7.0,13.0,28.0,0.464,3.0,9.0,0.333,13.0,15.0,0.867,3.0,0.607,39.1,0.518,130.0,126.0,31.1,5.6,112.9
Kyrie Irving,Point,2024-01-17,DAL,LAL,12.0,6.0,4.0,16.0,0.25,1.0,5.0,0.2,3.0,3.0,1.0,2.0,0.346,25.3,0.281,83.0,129.0,5.3,-10.2,115.3
Kyrie Irving,Point,2024-01-22,DAL,BOS,23.0,3.0,9.0,20.0,0.45,3.0,7.0,0.429,2.0,2.0,1.0,1.0,0.551,25.9,0.525,111.0,116.0,16.3,3.7,111.6
Kyrie Irving,Point,2024-02-05,DAL,PHI,23.0,8.0,10.0,17.0,0.588,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.659,24.1,0.647,140.0,104.0,22.7,10.2,113.8
Kyrie Irving,Point,2024-02-10,DAL,OKC,25.0,8.0,11.0,19.0,0.579,2.0,7.0,0.286,1.0,2.0,0.5,1.0,0.629,25.7,0.632,140.0,110.0,22.7,7.3,112.1
Kyrie Irving,Point,2024-02-12,DAL,WAS,26.0,4.0,10.0,19.0,0.526,2.0,7.0,0.286,4.0,6.0,0.667,2.0,0.601,21.4,0.579,116.0,98.0,19.4,2.0,119.6
Kyrie Irving,Point,2024-02-22,DAL,PHO,29.0,3.0,11.0,18.0,0.611,5.0,8.0,0.625,2.0,2.0,1.0,1.0,0.768,24.5,0.75,151.0,121.0,24.0,9.7,114.6
Kyrie Irving,Point,2024-02-25,DAL,IND,29.0,2.0,10.0,22.0,0.455,3.0,7.0,0.429,6.0,6.0,1.0,1.0,0.588,34.4,0.523,119.0,133.0,19.8,2.2,118.0
Kyrie Irving,Point,2024-02-27,DAL,CLE,30.0,3.0,12.0,24.0,0.5,5.0,8.0,0.625,1.0,1.0,1.0,3.0,0.614,33.1,0.604,110.0,127.0,20.6,0.6,112.7
Kyrie Irving,Point,2024-02-28,DAL,TOR,29.0,3.0,11.0,20.0,0.55,2.0,6.0,0.333,5.0,5.0,1.0,1.0,0.653,26.3,0.6,133.0,118.0,21.9,2.6,118.8
Kyrie Irving,Point,2024-03-03,DAL,PHI,28.0,4.0,10.0,20.0,0.5,5.0,9.0,0.556,3.0,3.0,1.0,4.0,0.657,28.1,0.625,119.0,126.0,19.3,4.4,113.8
Kyrie Irving,Point,2024-03-05,DAL,IND,23.0,3.0,8.0,19.0,0.421,3.0,9.0,0.333,4.0,4.0,1.0,0.0,0.554,24.6,0.5,126.0,141.0,16.7,-1.1,118.0
Kyrie Irving,Point,2024-03-07,DAL,MIA,23.0,4.0,9.0,19.0,0.474,3.0,9.0,0.333,2.0,2.0,1.0,2.0,0.578,27.3,0.553,111.0,113.0,16.6,2.4,112.2
Kyrie Irving,Point,2024-03-13,DAL,GSW,23.0,10.0,8.0,16.0,0.5,1.0,5.0,0.2,6.0,6.0,1.0,1.0,0.617,25.4,0.531,138.0,101.0,23.9,10.6,115.2
Kyrie Irving,Point,2024-03-14,DAL,OKC,36.0,12.0,12.0,18.0,0.667,4.0,7.0,0.571,8.0,8.0,1.0,4.0,0.836,28.0,0.778,155.0,125.0,35.8,20.0,112.1
Kyrie Irving,Point,2024-03-17,DAL,DEN,24.0,9.0,9.0,23.0,0.391,4.0,11.0,0.364,2.0,2.0,1.0,3.0,0.503,27.1,0.478,119.0,107.0,21.0,13.3,113.0
Kyrie Irving,Point,2024-03-19,DAL,SAS,28.0,3.0,13.0,21.0,0.619,0.0,5.0,0.0,2.0,2.0,1.0,1.0,0.64,26.6,0.619,120.0,103.0,22.9,4.2,116.4
Kyrie Irving,Point,2024-03-25,DAL,UTA,27.0,5.0,10.0,21.0,0.476,4.0,9.0,0.444,3.0,3.0,1.0,2.0,0.605,30.7,0.571,116.0,119.0,17.9,0.6,120.4
Kyrie Irving,Point,2024-03-26,DAL,SAC,24.0,8.0,10.0,19.0,0.526,4.0,9.0,0.444,0.0,1.0,0.0,1.0,0.617,26.6,0.632,129.0,99.0,20.2,5.6,115.2
Kyrie Irving,Point,2024-03-29,DAL,SAC,30.0,2.0,11.0,16.0,0.688,3.0,5.0,0.6,5.0,6.0,0.833,2.0,0.805,26.5,0.781,138.0,117.0,22.7,6.7,115.2
Kyrie Irving,Point,2024-03-31,DAL,HOU,24.0,7.0,9.0,19.0,0.474,4.0,9.0,0.444,2.0,2.0,1.0,1.0,0.604,26.6,0.579,138.0,116.0,19.3,4.8,113.4
Kyrie Irving,Point,2024-04-02,DAL,GSW,27.0,2.0,10.0,19.0,0.526,4.0,8.0,0.5,3.0,3.0,1.0,4.0,0.664,27.6,0.632,105.0,105.0,17.9,5.3,115.2
Kyrie Irving,Point,2024-04-04,DAL,ATL,26.0,1.0,10.0,21.0,0.476,3.0,7.0,0.429,3.0,3.0,1.0,4.0,0.582,31.4,0.548,101.0,98.0,14.6,1.0,119.4
Kyrie Irving,Point,2024-04-05,DAL,GSW,26.0,7.0,9.0,19.0,0.474,2.0,7.0,0.286,6.0,6.0,1.0,5.0,0.601,27.4,0.526,108.0,105.0,20.5,2.0,115.2
Kyrie Irving,Point,2024-04-07,DAL,HOU,48.0,2.0,15.0,25.0,0.6,3.0,8.0,0.375,15.0,17.0,0.882,2.0,0.739,33.6,0.66,144.0,122.0,37.8,7.3,113.4
Kyrie Irving,Point,2024-04-09,DAL,CHO,18.0,9.0,6.0,15.0,0.4,2.0,8.0,0.25,4.0,5.0,0.8,2.0,0.523,21.3,0.467,127.0,98.0,19.9,5.4,119.8
