Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Trae Young,Point,2023-12-31,ATL,WAS,40.0,13.0,11.0,19.0,0.579,4.0,8.0,0.5,14.0,19.0,0.737,5.0,0.731,31.7,0.684,137.0,113.0,36.3,12.9,119.6
Trae Young,Point,2024-01-03,ATL,OKC,24.0,11.0,6.0,13.0,0.462,2.0,9.0,0.222,10.0,11.0,0.909,6.0,0.673,28.0,0.538,123.0,132.0,21.0,1.7,112.1
Trae Young,Point,2024-01-05,ATL,IND,13.0,6.0,4.0,18.0,0.222,1.0,11.0,0.091,4.0,5.0,0.8,3.0,0.322,33.1,0.25,78.0,142.0,4.6,-12.8,118.0
Trae Young,Point,2024-01-07,ATL,ORL,31.0,9.0,11.0,23.0,0.478,2.0,9.0,0.222,7.0,10.0,0.7,5.0,0.566,35.3,0.522,105.0,116.0,21.5,2.8,111.3
Trae Young,Point,2024-01-10,ATL,PHI,28.0,11.0,7.0,22.0,0.318,2.0,8.0,0.25,12.0,14.0,0.857,5.0,0.497,30.6,0.364,106.0,122.0,18.5,-3.0,113.8
Trae Young,Point,2024-01-12,ATL,IND,13.0,6.0,4.0,17.0,0.235,2.0,6.0,0.333,3.0,3.0,1.0,5.0,0.355,32.9,0.294,79.0,129.0,5.6,-10.9,118.0
Trae Young,Point,2024-01-13,ATL,WAS,21.0,10.0,6.0,19.0,0.316,2.0,10.0,0.2,7.0,9.0,0.778,1.0,0.457,26.2,0.368,113.0,126.0,16.0,1.6,119.6
Trae Young,Point,2024-01-15,ATL,SAS,36.0,13.0,11.0,24.0,0.458,6.0,11.0,0.545,8.0,9.0,0.889,3.0,0.644,33.4,0.583,135.0,95.0,32.8,17.9,116.4
Trae Young,Point,2024-01-17,ATL,ORL,18.0,12.0,5.0,14.0,0.357,1.0,6.0,0.167,7.0,7.0,1.0,8.0,0.527,28.6,0.393,98.0,116.0,11.7,-4.2,111.3
Trae Young,Point,2024-01-26,ATL,DAL,30.0,11.0,9.0,18.0,0.5,2.0,7.0,0.286,10.0,11.0,0.909,2.0,0.657,30.7,0.556,143.0,139.0,28.4,7.5,115.4
Trae Young,Point,2024-01-28,ATL,TOR,30.0,12.0,9.0,24.0,0.375,1.0,4.0,0.25,11.0,12.0,0.917,5.0,0.512,31.1,0.396,113.0,126.0,21.2,-0.8,118.8
Trae Young,Point,2024-01-30,ATL,LAL,26.0,13.0,9.0,20.0,0.45,6.0,9.0,0.667,2.0,2.0,1.0,5.0,0.623,30.0,0.6,123.0,119.0,21.7,5.3,115.3
Trae Young,Point,2024-02-02,ATL,PHO,32.0,15.0,12.0,17.0,0.706,7.0,11.0,0.636,1.0,2.0,0.5,7.0,0.895,25.3,0.912,138.0,118.0,31.2,14.6,114.6
Trae Young,Point,2024-02-03,ATL,GSW,35.0,6.0,12.0,21.0,0.571,7.0,11.0,0.636,4.0,5.0,0.8,3.0,0.754,24.9,0.738,139.0,121.0,25.7,7.8,115.2
Trae Young,Point,2024-02-05,ATL,LAC,25.0,12.0,8.0,14.0,0.571,3.0,7.0,0.429,6.0,6.0,1.0,5.0,0.751,24.7,0.679,137.0,147.0,22.4,2.0,115.4
Trae Young,Point,2024-02-07,ATL,BOS,20.0,10.0,8.0,25.0,0.32,2.0,10.0,0.2,2.0,2.0,1.0,4.0,0.386,31.6,0.36,87.0,123.0,10.3,-6.1,111.6
Trae Young,Point,2024-02-09,ATL,PHI,37.0,12.0,10.0,21.0,0.476,5.0,12.0,0.417,12.0,16.0,0.75,7.0,0.66,39.0,0.595,120.0,131.0,27.0,0.7,113.8
Trae Young,Point,2024-02-10,ATL,HOU,18.0,8.0,6.0,16.0,0.375,2.0,9.0,0.222,4.0,6.0,0.667,4.0,0.483,28.7,0.438,95.0,106.0,12.7,-2.2,113.4
Trae Young,Point,2024-02-12,ATL,CHI,19.0,14.0,3.0,14.0,0.214,2.0,10.0,0.2,11.0,12.0,0.917,2.0,0.493,24.3,0.286,126.0,138.0,18.3,-1.8,116.3
Trae Young,Point,2024-02-14,ATL,CHO,12.0,12.0,4.0,12.0,0.333,2.0,8.0,0.25,2.0,2.0,1.0,4.0,0.466,20.7,0.417,102.0,135.0,9.0,-6.2,119.8
Trae Young,Point,2024-02-23,ATL,TOR,11.0,7.0,4.0,13.0,0.308,2.0,6.0,0.333,1.0,2.0,0.5,4.0,0.396,19.3,0.385,84.0,126.0,3.7,-12.8,118.8
Trae Young,Point,2024-04-10,ATL,CHO,14.0,11.0,5.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,1.19,24.1,1.2,144.0,118.0,17.0,12.4,119.8
Trae Young,Point,2024-04-12,ATL,MIN,19.0,7.0,6.0,12.0,0.5,3.0,7.0,0.429,4.0,6.0,0.667,2.0,0.649,25.4,0.625,125.0,109.0,16.3,11.2,109.0
Trae Young,Point,2024-04-14,ATL,IND,12.0,12.0,4.0,9.0,0.444,1.0,4.0,0.25,3.0,3.0,1.0,8.0,0.581,23.8,0.5,91.0,154.0,8.6,-11.6,118.0
