Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Joel Embiid,"Center


",2023-10-26,PHI,MIL,24.0,6.0,9.0,21.0,0.429,3.0,7.0,0.429,3.0,8.0,0.375,7.0,0.489,38.7,0.5,83.0,118.0,8.9,-7.7,115.8
Joel Embiid,"Center


",2023-10-28,PHI,TOR,34.0,8.0,14.0,21.0,0.667,1.0,3.0,0.333,5.0,6.0,0.833,1.0,0.719,32.1,0.69,149.0,110.0,34.2,21.2,118.8
Joel Embiid,"Center


",2023-10-29,PHI,POR,35.0,7.0,12.0,22.0,0.545,2.0,4.0,0.5,9.0,12.0,0.75,3.0,0.641,43.1,0.591,133.0,82.0,36.6,23.3,117.5
Joel Embiid,"Center


",2023-11-02,PHI,TOR,28.0,7.0,8.0,22.0,0.364,0.0,2.0,0.0,12.0,13.0,0.923,4.0,0.505,37.4,0.364,114.0,104.0,22.1,6.1,118.8
Joel Embiid,"Center


",2023-11-04,PHI,PHO,26.0,3.0,9.0,18.0,0.5,3.0,3.0,1.0,5.0,5.0,1.0,4.0,0.644,32.7,0.583,121.0,103.0,19.5,8.8,114.6
Joel Embiid,"Center


",2023-11-06,PHI,WAS,48.0,6.0,17.0,25.0,0.68,0.0,2.0,0.0,14.0,14.0,1.0,1.0,0.77,41.5,0.68,161.0,114.0,45.5,18.4,119.6
Joel Embiid,"Center


",2023-11-08,PHI,BOS,27.0,4.0,10.0,20.0,0.5,1.0,4.0,0.25,6.0,6.0,1.0,6.0,0.596,32.3,0.525,102.0,97.0,19.8,7.5,111.6
Joel Embiid,"Center


",2023-11-10,PHI,DET,33.0,3.0,8.0,21.0,0.381,1.0,4.0,0.25,16.0,19.0,0.842,5.0,0.562,42.2,0.405,113.0,109.0,25.2,2.0,118.8
Joel Embiid,"Center


",2023-11-12,PHI,IND,37.0,7.0,12.0,26.0,0.462,1.0,4.0,0.25,12.0,14.0,0.857,3.0,0.575,41.1,0.481,141.0,128.0,32.7,11.4,118.0
Joel Embiid,"Center


",2023-11-14,PHI,IND,39.0,6.0,11.0,22.0,0.5,0.0,4.0,0.0,17.0,17.0,1.0,5.0,0.661,37.4,0.5,125.0,116.0,33.4,11.0,118.0
Joel Embiid,"Center


",2023-11-15,PHI,BOS,20.0,7.0,8.0,16.0,0.5,0.0,2.0,0.0,4.0,4.0,1.0,2.0,0.563,27.0,0.5,124.0,126.0,18.6,8.3,111.6
Joel Embiid,"Center


",2023-11-17,PHI,ATL,32.0,8.0,10.0,19.0,0.526,1.0,3.0,0.333,11.0,11.0,1.0,4.0,0.671,31.7,0.553,135.0,118.0,28.0,9.8,119.4
Joel Embiid,"Center


",2023-11-19,PHI,BRK,32.0,9.0,11.0,24.0,0.458,1.0,2.0,0.5,9.0,10.0,0.9,1.0,0.563,42.7,0.479,129.0,104.0,28.4,14.7,116.1
Joel Embiid,"Center


",2023-11-21,PHI,CLE,32.0,5.0,9.0,21.0,0.429,1.0,3.0,0.333,13.0,16.0,0.813,6.0,0.571,35.2,0.452,107.0,107.0,25.4,8.0,112.7
Joel Embiid,"Center


",2023-11-25,PHI,OKC,35.0,9.0,8.0,18.0,0.444,0.0,4.0,0.0,19.0,21.0,0.905,4.0,0.642,35.0,0.444,141.0,123.0,33.8,14.5,112.1
Joel Embiid,"Center


",2023-11-27,PHI,LAL,30.0,11.0,9.0,15.0,0.6,2.0,3.0,0.667,10.0,12.0,0.833,3.0,0.74,33.1,0.667,158.0,97.0,32.8,22.6,115.3
Joel Embiid,"Center


",2023-12-06,PHI,WAS,50.0,7.0,19.0,29.0,0.655,1.0,2.0,0.5,11.0,13.0,0.846,6.0,0.72,43.6,0.672,133.0,120.0,42.6,14.9,119.6
Joel Embiid,"Center


",2023-12-08,PHI,ATL,38.0,3.0,12.0,24.0,0.5,1.0,3.0,0.333,13.0,15.0,0.867,2.0,0.621,38.5,0.521,133.0,106.0,34.5,12.5,119.4
Joel Embiid,"Center


",2023-12-11,PHI,WAS,34.0,6.0,14.0,20.0,0.7,2.0,5.0,0.4,4.0,4.0,1.0,7.0,0.781,39.2,0.75,116.0,86.0,27.2,8.9,119.6
Joel Embiid,"Center


",2023-12-13,PHI,DET,41.0,5.0,14.0,24.0,0.583,1.0,3.0,0.333,12.0,12.0,1.0,2.0,0.7,42.8,0.604,145.0,106.0,37.8,18.1,118.8
Joel Embiid,"Center


",2023-12-15,PHI,DET,35.0,2.0,9.0,19.0,0.474,2.0,3.0,0.667,15.0,16.0,0.938,4.0,0.672,40.4,0.526,126.0,77.0,30.2,16.9,118.8
Joel Embiid,"Center


",2023-12-16,PHI,CHO,42.0,3.0,18.0,23.0,0.783,0.0,1.0,0.0,6.0,6.0,1.0,4.0,0.819,45.1,0.783,137.0,74.0,37.3,17.0,119.8
Joel Embiid,"Center


",2023-12-18,PHI,CHI,40.0,6.0,15.0,28.0,0.536,2.0,6.0,0.333,8.0,9.0,0.889,4.0,0.626,43.0,0.571,118.0,111.0,30.2,13.2,116.3
Joel Embiid,"Center


",2023-12-20,PHI,MIN,51.0,3.0,17.0,25.0,0.68,0.0,1.0,0.0,17.0,18.0,0.944,2.0,0.775,42.1,0.68,154.0,106.0,45.1,20.6,109.0
Joel Embiid,"Center


",2023-12-22,PHI,TOR,31.0,9.0,11.0,21.0,0.524,2.0,2.0,1.0,7.0,8.0,0.875,6.0,0.632,39.8,0.571,110.0,100.0,28.4,11.6,118.8
Joel Embiid,"Center


",2024-01-02,PHI,CHI,31.0,10.0,10.0,20.0,0.5,2.0,5.0,0.4,9.0,12.0,0.75,4.0,0.613,40.6,0.55,118.0,80.0,28.1,17.7,116.3
Joel Embiid,"Center


",2024-01-05,PHI,NYK,30.0,3.0,10.0,23.0,0.435,1.0,1.0,1.0,9.0,12.0,0.75,6.0,0.53,42.5,0.457,93.0,127.0,18.9,1.1,113.4
Joel Embiid,"Center


",2024-01-15,PHI,HOU,41.0,3.0,12.0,21.0,0.571,1.0,5.0,0.2,16.0,17.0,0.941,2.0,0.72,43.3,0.595,145.0,112.0,34.3,14.3,113.4
Joel Embiid,"Center


",2024-01-16,PHI,DEN,41.0,10.0,13.0,22.0,0.591,3.0,6.0,0.5,12.0,15.0,0.8,3.0,0.717,39.8,0.659,143.0,133.0,35.2,13.6,113.0
Joel Embiid,"Center


",2024-01-19,PHI,ORL,36.0,2.0,12.0,22.0,0.545,1.0,2.0,0.5,11.0,11.0,1.0,1.0,0.671,40.6,0.568,148.0,110.0,31.9,16.1,111.3
Joel Embiid,"Center


",2024-01-20,PHI,CHO,33.0,5.0,11.0,23.0,0.478,0.0,1.0,0.0,11.0,12.0,0.917,3.0,0.583,38.7,0.478,112.0,88.0,26.1,11.3,119.8
Joel Embiid,"Center


",2024-01-22,PHI,SAS,70.0,5.0,24.0,41.0,0.585,1.0,2.0,0.5,21.0,23.0,0.913,1.0,0.685,57.6,0.598,155.0,123.0,62.5,32.8,116.4
Joel Embiid,"Center


",2024-01-25,PHI,IND,31.0,3.0,11.0,20.0,0.55,2.0,4.0,0.5,7.0,10.0,0.7,2.0,0.635,34.4,0.6,119.0,127.0,22.4,4.1,118.0
Joel Embiid,"Center


",2024-01-30,PHI,GSW,14.0,2.0,5.0,18.0,0.278,2.0,6.0,0.333,2.0,2.0,1.0,8.0,0.371,39.3,0.333,62.0,123.0,-0.7,-18.9,115.2
Joel Embiid,"Center


",2024-04-02,PHI,OKC,24.0,7.0,6.0,14.0,0.429,0.0,3.0,0.0,12.0,12.0,1.0,6.0,0.622,39.4,0.429,112.0,103.0,19.1,6.3,112.1
Joel Embiid,"Center


",2024-04-04,PHI,MIA,29.0,3.0,11.0,25.0,0.44,3.0,6.0,0.5,4.0,5.0,0.8,1.0,0.533,38.4,0.5,106.0,111.0,18.7,4.5,112.2
Joel Embiid,"Center


",2024-04-06,PHI,MEM,30.0,1.0,9.0,13.0,0.692,2.0,2.0,1.0,10.0,13.0,0.769,8.0,0.801,52.4,0.769,109.0,91.0,21.4,5.4,114.3
Joel Embiid,"Center


",2024-04-09,PHI,DET,37.0,8.0,12.0,22.0,0.545,4.0,9.0,0.444,9.0,10.0,0.9,5.0,0.701,36.6,0.636,129.0,96.0,33.5,19.0,118.8
Joel Embiid,"Center


",2024-04-12,PHI,ORL,32.0,7.0,10.0,23.0,0.435,4.0,7.0,0.571,8.0,9.0,0.889,4.0,0.593,41.7,0.522,115.0,106.0,24.2,10.2,111.3
