PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
20.0,8.0,5.0,18.0,0.278,1.0,8.0,0.125,9.0,9.0,1.0,4.0,0.455,29.9,0.306,102.0,109.0,15.4,-0.3,116.8
41.0,3.0,12.0,25.0,0.48,5.0,12.0,0.417,12.0,12.0,1.0,4.0,0.677,36.8,0.58,131.0,110.0,28.8,10.4,113.0
41.0,2.0,15.0,25.0,0.6,6.0,13.0,0.462,5.0,7.0,0.714,6.0,0.73,41.7,0.72,118.0,107.0,25.5,12.6,113.9
31.0,8.0,10.0,16.0,0.625,4.0,7.0,0.571,7.0,8.0,0.875,1.0,0.794,27.1,0.75,168.0,117.0,30.4,14.4,114.2
22.0,2.0,6.0,13.0,0.462,4.0,11.0,0.364,6.0,6.0,1.0,4.0,0.703,32.8,0.615,115.0,128.0,14.3,4.1,113.3
19.0,6.0,4.0,12.0,0.333,3.0,8.0,0.375,8.0,9.0,0.889,4.0,0.595,28.0,0.458,109.0,120.0,12.1,-5.6,113.3
26.0,7.0,8.0,16.0,0.5,6.0,12.0,0.5,4.0,8.0,0.5,6.0,0.666,33.0,0.688,109.0,108.0,16.7,2.3,115.3
29.0,12.0,6.0,16.0,0.375,2.0,7.0,0.286,15.0,17.0,0.882,5.0,0.618,33.8,0.438,127.0,125.0,26.3,8.4,116.7
22.0,11.0,8.0,20.0,0.4,2.0,9.0,0.222,4.0,5.0,0.8,4.0,0.495,30.2,0.45,110.0,117.0,15.0,-3.2,120.0
25.0,11.0,8.0,24.0,0.333,3.0,12.0,0.25,6.0,6.0,1.0,2.0,0.469,32.1,0.396,106.0,112.0,18.6,4.9,114.1
13.0,7.0,2.0,14.0,0.143,1.0,12.0,0.083,8.0,9.0,0.889,2.0,0.362,32.2,0.179,92.0,128.0,6.3,-12.4,116.7
21.0,6.0,7.0,16.0,0.438,5.0,10.0,0.5,2.0,2.0,1.0,4.0,0.622,28.3,0.594,109.0,104.0,14.1,0.7,117.7
40.0,12.0,12.0,22.0,0.545,9.0,17.0,0.529,7.0,7.0,1.0,1.0,0.797,30.3,0.75,169.0,126.0,39.6,25.0,114.2
36.0,8.0,9.0,22.0,0.409,3.0,11.0,0.273,15.0,15.0,1.0,5.0,0.629,35.3,0.477,128.0,118.0,27.3,4.8,113.8
38.0,3.0,13.0,21.0,0.619,11.0,17.0,0.647,1.0,1.0,1.0,4.0,0.886,35.8,0.881,134.0,113.0,26.8,15.6,113.8
37.0,8.0,14.0,23.0,0.609,7.0,14.0,0.5,2.0,2.0,1.0,5.0,0.775,36.2,0.761,133.0,110.0,30.2,10.6,120.0
24.0,3.0,6.0,14.0,0.429,3.0,8.0,0.375,9.0,10.0,0.9,2.0,0.652,35.9,0.536,126.0,134.0,15.8,4.7,116.7
25.0,10.0,7.0,20.0,0.35,5.0,13.0,0.385,6.0,8.0,0.75,1.0,0.531,34.2,0.475,125.0,102.0,21.1,12.2,119.3
28.0,6.0,9.0,17.0,0.529,6.0,12.0,0.5,4.0,4.0,1.0,4.0,0.746,24.7,0.706,133.0,127.0,20.2,4.6,114.2
16.0,8.0,6.0,19.0,0.316,2.0,11.0,0.182,2.0,2.0,1.0,4.0,0.402,31.2,0.368,89.0,111.0,8.5,-6.7,114.2
34.0,8.0,10.0,22.0,0.455,4.0,11.0,0.364,10.0,10.0,1.0,0.0,0.644,29.5,0.545,149.0,128.0,30.3,14.2,114.2
17.0,9.0,5.0,18.0,0.278,1.0,10.0,0.1,6.0,6.0,1.0,5.0,0.412,28.7,0.306,94.0,118.0,9.6,-9.3,115.3
34.0,5.0,12.0,29.0,0.414,4.0,15.0,0.267,6.0,7.0,0.857,3.0,0.53,34.7,0.483,118.0,126.0,20.9,1.9,114.4
19.0,10.0,7.0,14.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,2.0,0.62,24.5,0.607,129.0,87.0,22.7,14.5,118.9
27.0,6.0,7.0,18.0,0.389,2.0,9.0,0.222,11.0,15.0,0.733,2.0,0.549,28.7,0.444,122.0,126.0,18.2,0.2,113.8
19.0,8.0,7.0,24.0,0.292,1.0,8.0,0.125,4.0,5.0,0.8,2.0,0.363,31.7,0.313,85.0,108.0,7.6,-5.5,117.7
34.0,8.0,11.0,23.0,0.478,3.0,7.0,0.429,9.0,12.0,0.75,7.0,0.601,36.4,0.543,109.0,118.0,23.2,7.0,114.0
30.0,5.0,12.0,25.0,0.48,2.0,12.0,0.167,4.0,4.0,1.0,3.0,0.561,33.2,0.52,114.0,118.0,20.4,2.8,114.2
50.0,3.0,16.0,28.0,0.571,5.0,13.0,0.385,13.0,15.0,0.867,1.0,0.723,39.8,0.661,144.0,123.0,38.3,15.9,110.6
36.0,10.0,11.0,20.0,0.55,4.0,11.0,0.364,10.0,10.0,1.0,1.0,0.738,39.0,0.65,163.0,130.0,33.1,13.8,116.7
40.0,6.0,10.0,17.0,0.588,4.0,9.0,0.444,16.0,16.0,1.0,1.0,0.832,29.5,0.706,173.0,128.0,36.8,13.9,116.7
44.0,8.0,12.0,20.0,0.6,6.0,12.0,0.5,14.0,14.0,1.0,2.0,0.841,36.7,0.75,163.0,128.0,37.7,23.1,114.2
25.0,11.0,6.0,21.0,0.286,3.0,13.0,0.231,10.0,10.0,1.0,6.0,0.492,33.5,0.357,99.0,103.0,19.6,10.1,113.3
24.0,10.0,5.0,17.0,0.294,3.0,13.0,0.231,11.0,13.0,0.846,1.0,0.528,26.4,0.382,127.0,129.0,20.7,1.9,113.9
37.0,12.0,12.0,19.0,0.632,7.0,11.0,0.636,6.0,6.0,1.0,3.0,0.855,34.8,0.816,163.0,132.0,34.4,15.7,120.0
60.0,8.0,21.0,29.0,0.724,9.0,15.0,0.6,9.0,10.0,0.9,4.0,0.898,42.5,0.879,162.0,121.0,54.0,25.5,116.7
30.0,3.0,10.0,20.0,0.5,2.0,9.0,0.222,8.0,9.0,0.889,4.0,0.626,37.4,0.55,111.0,142.0,17.7,-3.3,114.0
42.0,6.0,10.0,21.0,0.476,5.0,12.0,0.417,17.0,17.0,1.0,0.0,0.737,36.3,0.595,159.0,141.0,35.3,8.5,116.3
42.0,10.0,11.0,22.0,0.5,5.0,13.0,0.385,15.0,16.0,0.938,2.0,0.723,33.4,0.614,151.0,114.0,38.3,17.9,111.2
29.0,6.0,9.0,20.0,0.45,3.0,10.0,0.3,8.0,8.0,1.0,2.0,0.616,29.2,0.525,129.0,131.0,21.3,0.5,115.6
40.0,5.0,12.0,21.0,0.571,5.0,12.0,0.417,11.0,11.0,1.0,3.0,0.774,32.5,0.69,145.0,134.0,32.3,10.0,112.2
28.0,5.0,7.0,18.0,0.389,2.0,7.0,0.286,12.0,12.0,1.0,1.0,0.601,32.7,0.444,119.0,122.0,22.1,7.8,111.9
33.0,11.0,8.0,21.0,0.381,1.0,7.0,0.143,16.0,16.0,1.0,5.0,0.588,35.4,0.405,129.0,123.0,29.0,2.7,114.4
38.0,9.0,10.0,18.0,0.556,6.0,13.0,0.462,12.0,13.0,0.923,6.0,0.801,36.9,0.722,142.0,147.0,30.1,7.9,114.2
40.0,5.0,13.0,23.0,0.565,8.0,14.0,0.571,6.0,7.0,0.857,3.0,0.767,37.9,0.739,136.0,117.0,31.3,12.8,113.9
39.0,6.0,14.0,30.0,0.467,5.0,17.0,0.294,6.0,7.0,0.857,6.0,0.589,44.7,0.55,107.0,133.0,25.4,5.6,115.6
71.0,6.0,22.0,38.0,0.579,13.0,22.0,0.591,14.0,14.0,1.0,2.0,0.804,53.6,0.75,158.0,119.0,57.6,23.5,119.3
25.0,7.0,9.0,21.0,0.429,2.0,7.0,0.286,5.0,5.0,1.0,2.0,0.539,31.6,0.476,117.0,123.0,20.3,3.9,114.4
41.0,0.0,12.0,22.0,0.545,2.0,9.0,0.222,15.0,16.0,0.938,4.0,0.706,37.3,0.591,129.0,131.0,29.0,4.4,112.5
33.0,8.0,10.0,21.0,0.476,5.0,11.0,0.455,8.0,9.0,0.889,3.0,0.661,32.4,0.595,132.0,128.0,27.3,8.7,116.3
41.0,6.0,10.0,25.0,0.4,4.0,16.0,0.25,17.0,20.0,0.85,5.0,0.607,44.5,0.48,120.0,115.0,31.3,6.2,114.2
31.0,12.0,10.0,28.0,0.357,6.0,14.0,0.429,5.0,6.0,0.833,4.0,0.506,43.7,0.464,107.0,105.0,25.8,5.5,118.9
