PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
32.0,8.0,13.0,21.0,0.619,3.0,8.0,0.375,3.0,3.0,1.0,6.0,0.717,30.3,0.69,123.0,105.0,23.7,9.5,115.2
31.0,13.0,10.0,19.0,0.526,5.0,7.0,0.714,6.0,6.0,1.0,5.0,0.716,34.4,0.658,134.0,134.0,27.3,6.7,116.4
31.0,5.0,12.0,22.0,0.545,2.0,7.0,0.286,5.0,5.0,1.0,2.0,0.64,48.4,0.591,128.0,128.0,22.7,1.7,109.0
24.0,15.0,7.0,15.0,0.467,2.0,3.0,0.667,8.0,10.0,0.8,1.0,0.619,29.1,0.533,146.0,137.0,25.0,6.6,120.4
26.0,8.0,8.0,21.0,0.381,2.0,7.0,0.286,8.0,8.0,1.0,3.0,0.53,30.5,0.429,116.0,126.0,17.7,-5.2,120.4
28.0,6.0,9.0,20.0,0.45,0.0,3.0,0.0,10.0,10.0,1.0,1.0,0.574,36.0,0.45,137.0,122.0,23.0,1.6,117.5
25.0,10.0,5.0,15.0,0.333,2.0,3.0,0.667,13.0,14.0,0.929,3.0,0.591,32.3,0.4,131.0,114.0,23.9,8.1,115.2
40.0,4.0,15.0,21.0,0.714,3.0,4.0,0.75,7.0,9.0,0.778,5.0,0.801,43.0,0.786,131.0,89.0,33.7,20.2,114.3
28.0,11.0,10.0,25.0,0.4,1.0,4.0,0.25,7.0,8.0,0.875,2.0,0.491,34.8,0.42,129.0,131.0,22.3,3.9,113.4
8.0,5.0,2.0,12.0,0.167,0.0,4.0,0.0,4.0,4.0,1.0,2.0,0.291,20.6,0.167,71.0,120.0,2.2,-14.5,118.8
34.0,7.0,9.0,21.0,0.429,3.0,8.0,0.375,13.0,13.0,1.0,2.0,0.636,31.5,0.5,135.0,108.0,29.4,10.1,114.3
21.0,6.0,6.0,16.0,0.375,1.0,1.0,1.0,8.0,8.0,1.0,7.0,0.538,32.9,0.406,97.0,108.0,13.2,-5.4,115.3
28.0,7.0,10.0,14.0,0.714,2.0,2.0,1.0,6.0,9.0,0.667,3.0,0.78,25.7,0.786,137.0,120.0,24.4,6.5,115.2
32.0,7.0,12.0,23.0,0.522,3.0,6.0,0.5,5.0,5.0,1.0,2.0,0.635,31.7,0.587,125.0,115.0,24.9,6.2,115.2
