PTS,OPP DRTG
20.0,116.8
41.0,113.0
41.0,113.9
31.0,114.2
22.0,113.3
19.0,113.3
26.0,115.3
29.0,116.7
22.0,120.0
25.0,114.1
13.0,116.7
21.0,117.7
40.0,114.2
36.0,113.8
38.0,113.8
37.0,120.0
24.0,116.7
25.0,119.3
28.0,114.2
16.0,114.2
34.0,114.2
17.0,115.3
34.0,114.4
19.0,118.9
27.0,113.8
19.0,117.7
34.0,114.0
30.0,114.2
50.0,110.6
36.0,116.7
40.0,116.7
44.0,114.2
25.0,113.3
24.0,113.9
37.0,120.0
60.0,116.7
30.0,114.0
42.0,116.3
42.0,111.2
29.0,115.6
40.0,112.2
28.0,111.9
33.0,114.4
38.0,114.2
40.0,113.9
39.0,115.6
71.0,119.3
25.0,114.4
41.0,112.5
33.0,116.3
41.0,114.2
31.0,118.9
27.0,111.5
22.0,113.3
38.0,114.8
41.0,111.5
21.0,114.5
30.0,116.7
