PTS,OPP DRTG
23.0,117.7
27.0,110.6
13.0,118.9
31.0,117.7
12.0,111.5
20.0,113.3
29.0,113.3
20.0,114.1
25.0,114.2
27.0,113.3
26.0,115.3
28.0,113.3
30.0,111.5
22.0,113.8
25.0,114.1
33.0,115.3
29.0,113.9
27.0,113.0
30.0,116.7
24.0,116.8
8.0,111.9
18.0,114.8
17.0,114.2
22.0,116.7
17.0,119.3
16.0,112.5
21.0,120.0
34.0,118.8
17.0,115.3
32.0,117.7
33.0,114.4
19.0,118.8
35.0,113.8
16.0,114.8
18.0,112.2
37.0,116.3
15.0,114.0
21.0,114.0
33.0,111.9
32.0,118.9
24.0,116.3
27.0,116.3
13.0,113.3
36.0,118.9
22.0,110.6
20.0,116.8
16.0,114.2
