PTS,OPP DRTG
33.0,118.8
36.0,114.5
26.0,114.4
27.0,111.2
17.0,113.3
8.0,115.3
37.0,114.2
28.0,114.4
15.0,110.6
32.0,113.9
22.0,114.4
14.0,114.1
28.0,120.0
33.0,118.9
32.0,111.2
18.0,116.3
20.0,111.5
11.0,113.0
19.0,117.7
14.0,114.5
16.0,112.2
15.0,111.9
13.0,113.3
27.0,114.0
24.0,118.9
37.0,115.3
22.0,113.9
26.0,115.6
26.0,114.2
31.0,114.2
24.0,116.7
19.0,111.2
37.0,116.7
25.0,116.3
34.0,113.9
24.0,119.3
24.0,119.3
31.0,113.9
25.0,114.2
31.0,113.3
17.0,111.2
16.0,114.0
29.0,113.8
32.0,113.8
31.0,120.0
16.0,119.3
31.0,119.3
33.0,116.7
36.0,116.7
35.0,113.0
31.0,118.8
42.0,114.5
33.0,114.2
33.0,114.5
25.0,113.8
23.0,114.8
18.0,113.0
35.0,111.9
32.0,112.2
18.0,114.1
12.0,115.6
37.0,116.7
18.0,111.5
19.0,113.0
29.0,113.8
18.0,118.8
20.0,118.8
28.0,120.0
23.0,112.5
28.0,116.7
