PTS,OPP DRTG
18.0,114.9
27.0,110.5
26.0,116.7
25.0,112.3
16.0,112.1
23.0,115.3
33.0,109.1
23.0,112.3
33.0,106.9
25.0,113.0
20.0,113.6
32.0,112.3
23.0,112.1
26.0,110.1
33.0,114.5
25.0,109.7
28.0,113.0
21.0,113.0
28.0,112.8
26.0,109.0
27.0,116.1
21.0,112.1
26.0,106.9
22.0,113.6
21.0,110.5
27.0,109.0
23.0,112.5
20.0,112.8
41.0,110.5
28.0,107.3
37.0,109.0
25.0,106.9
15.0,116.9
30.0,116.1
34.0,112.5
40.0,112.8
33.0,110.8
18.0,114.9
33.0,113.8
51.0,110.1
45.0,110.1
21.0,109.1
49.0,113.0
23.0,110.5
34.0,106.9
25.0,113.3
41.0,106.9
35.0,110.5
31.0,110.5
30.0,116.7
26.0,106.9
37.0,112.8
17.0,110.8
37.0,113.7
15.0,111.7
24.0,111.7
32.0,110.5
34.0,113.3
35.0,109.7
36.0,114.5
32.0,111.8
26.0,113.8
39.0,116.9
26.0,112.3
