PTS,OPP DRTG
32.0,112.3
24.0,109.7
24.0,110.5
26.0,111.7
23.0,109.0
34.0,109.0
28.0,116.7
22.0,114.9
28.0,116.9
35.0,109.4
30.0,110.8
24.0,109.1
18.0,112.5
32.0,110.5
17.0,113.6
39.0,113.0
22.0,112.3
35.0,112.3
28.0,114.5
27.0,111.7
20.0,114.9
13.0,112.8
29.0,113.7
26.0,110.1
22.0,106.9
24.0,116.7
27.0,109.4
26.0,110.5
33.0,115.3
22.0,112.8
21.0,110.1
20.0,116.9
17.0,113.3
25.0,110.5
49.0,110.1
26.0,109.0
34.0,113.8
28.0,113.8
26.0,112.8
29.0,113.0
18.0,111.8
21.0,111.7
25.0,113.0
27.0,112.8
21.0,110.5
23.0,106.9
28.0,110.5
26.0,112.5
35.0,106.9
25.0,115.3
18.0,115.3
8.0,116.9
22.0,112.8
46.0,113.0
38.0,115.3
23.0,106.9
22.0,110.8
29.0,114.5
32.0,109.7
23.0,106.9
30.0,110.1
28.0,107.3
35.0,112.8
38.0,111.7
38.0,113.3
41.0,112.3
35.0,109.0
