PTS,OPP DRTG
15.0,107.3
13.0,109.0
33.0,112.3
20.0,112.8
19.0,109.7
20.0,116.7
27.0,116.7
27.0,112.8
8.0,116.9
17.0,113.7
25.0,109.1
20.0,111.7
14.0,112.3
25.0,113.6
19.0,111.8
12.0,106.9
26.0,113.8
31.0,110.5
20.0,116.1
29.0,115.3
25.0,113.8
23.0,115.3
24.0,106.9
9.0,109.0
23.0,109.4
14.0,111.7
20.0,113.6
22.0,107.3
30.0,112.3
13.0,112.8
24.0,116.7
15.0,116.9
20.0,111.7
19.0,115.3
6.0,109.0
8.0,115.3
19.0,112.1
15.0,110.5
18.0,112.5
24.0,109.1
15.0,112.8
35.0,113.7
20.0,114.9
9.0,116.9
17.0,110.1
5.0,110.5
10.0,111.8
19.0,106.9
17.0,110.5
18.0,110.1
16.0,113.0
12.0,109.4
17.0,110.1
20.0,106.9
17.0,112.3
30.0,116.7
5.0,114.5
13.0,107.3
14.0,110.5
15.0,111.7
22.0,110.5
20.0,109.7
24.0,110.8
25.0,109.4
24.0,110.5
27.0,112.1
28.0,107.3
