PTS,OPP DRTG
20.0,112.8
10.0,109.1
28.0,112.3
27.0,116.1
16.0,111.7
19.0,112.3
16.0,113.3
16.0,112.8
13.0,112.5
12.0,112.5
17.0,112.1
14.0,116.1
21.0,113.7
22.0,110.5
22.0,109.1
21.0,109.7
20.0,109.1
21.0,116.7
24.0,110.5
23.0,116.7
26.0,109.4
17.0,106.9
21.0,112.5
22.0,112.5
10.0,113.8
25.0,110.5
20.0,112.8
27.0,113.7
27.0,113.7
23.0,106.9
16.0,110.5
34.0,114.9
27.0,109.0
16.0,113.6
34.0,115.3
21.0,109.7
20.0,110.5
9.0,112.1
13.0,114.5
17.0,110.1
21.0,113.3
21.0,107.3
16.0,116.9
19.0,116.1
19.0,110.8
25.0,112.8
19.0,113.7
26.0,109.1
22.0,113.6
44.0,107.3
25.0,112.8
23.0,114.9
18.0,106.9
23.0,110.5
32.0,115.3
16.0,109.0
22.0,110.8
16.0,112.8
11.0,109.4
22.0,106.9
