PTS,OPP DRTG
15.0,112.1
23.0,113.3
16.0,109.7
9.0,116.7
16.0,114.9
16.0,115.3
21.0,116.9
15.0,109.0
15.0,116.7
21.0,111.7
7.0,109.4
18.0,109.4
9.0,112.1
17.0,109.7
14.0,110.5
22.0,112.8
12.0,106.9
21.0,112.3
10.0,106.9
9.0,110.1
24.0,116.9
11.0,113.3
16.0,112.8
21.0,106.9
13.0,109.0
10.0,112.8
14.0,110.1
9.0,109.1
15.0,110.5
12.0,116.1
20.0,109.4
18.0,116.1
27.0,110.5
21.0,110.5
21.0,111.7
20.0,112.3
20.0,112.8
18.0,114.9
14.0,114.5
19.0,113.6
16.0,110.8
17.0,111.8
17.0,110.1
11.0,116.7
17.0,112.1
15.0,106.9
8.0,109.0
11.0,112.8
16.0,110.5
