PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
32.0,7.0,12.0,25.0,0.48,1.0,4.0,0.25,7.0,9.0,0.778,4.0,0.552,42.6,0.5,117.0,98.0,26.4,11.4,112.8
15.0,2.0,4.0,11.0,0.364,1.0,3.0,0.333,6.0,10.0,0.6,2.0,0.487,32.8,0.409,93.0,112.0,11.9,4.7,109.1
21.0,8.0,7.0,15.0,0.467,1.0,2.0,0.5,6.0,8.0,0.75,5.0,0.567,33.0,0.5,108.0,104.0,16.0,4.9,112.3
30.0,9.0,10.0,18.0,0.556,0.0,2.0,0.0,10.0,13.0,0.769,2.0,0.632,30.5,0.556,132.0,105.0,29.5,12.2,116.1
40.0,7.0,15.0,23.0,0.652,3.0,6.0,0.5,7.0,9.0,0.778,2.0,0.742,35.5,0.717,149.0,108.0,40.1,27.3,111.7
28.0,3.0,11.0,18.0,0.611,0.0,3.0,0.0,6.0,11.0,0.545,7.0,0.613,36.5,0.611,93.0,97.0,14.8,1.3,112.3
25.0,6.0,10.0,20.0,0.5,3.0,11.0,0.273,2.0,2.0,1.0,2.0,0.599,29.2,0.575,125.0,111.0,22.3,16.8,110.5
28.0,9.0,9.0,16.0,0.563,3.0,7.0,0.429,7.0,7.0,1.0,3.0,0.734,36.5,0.656,143.0,82.0,28.1,25.0,113.8
25.0,4.0,7.0,17.0,0.412,2.0,7.0,0.286,9.0,11.0,0.818,3.0,0.572,36.8,0.471,110.0,109.0,18.2,7.6,110.5
29.0,5.0,12.0,26.0,0.462,0.0,4.0,0.0,5.0,12.0,0.417,3.0,0.464,36.9,0.462,102.0,97.0,23.2,8.0,114.5
31.0,4.0,12.0,26.0,0.462,0.0,2.0,0.0,7.0,13.0,0.538,0.0,0.489,37.5,0.462,113.0,104.0,24.2,5.1,110.8
15.0,8.0,5.0,15.0,0.333,2.0,5.0,0.4,3.0,4.0,0.75,3.0,0.447,23.3,0.4,110.0,100.0,14.8,2.7,110.5
26.0,6.0,9.0,21.0,0.429,1.0,5.0,0.2,7.0,12.0,0.583,3.0,0.495,40.8,0.452,99.0,126.0,15.7,0.3,114.9
47.0,3.0,18.0,23.0,0.783,3.0,4.0,0.75,8.0,11.0,0.727,4.0,0.844,37.4,0.848,144.0,100.0,39.8,22.5,113.3
21.0,7.0,6.0,16.0,0.375,0.0,4.0,0.0,9.0,11.0,0.818,5.0,0.504,32.6,0.375,93.0,71.0,19.8,9.5,112.8
32.0,5.0,8.0,16.0,0.5,1.0,3.0,0.333,15.0,23.0,0.652,5.0,0.613,43.8,0.531,116.0,87.0,28.6,12.3,112.5
12.0,9.0,4.0,12.0,0.333,0.0,4.0,0.0,4.0,6.0,0.667,1.0,0.41,27.1,0.333,118.0,87.0,14.1,9.6,112.5
33.0,5.0,12.0,17.0,0.706,1.0,4.0,0.25,8.0,10.0,0.8,1.0,0.771,31.5,0.735,158.0,88.0,33.1,23.8,113.8
24.0,7.0,10.0,13.0,0.769,1.0,1.0,1.0,3.0,9.0,0.333,1.0,0.708,28.4,0.808,147.0,109.0,25.0,14.1,112.1
26.0,3.0,10.0,15.0,0.667,0.0,2.0,0.0,6.0,10.0,0.6,5.0,0.67,31.8,0.667,114.0,101.0,20.8,4.3,116.1
40.0,9.0,15.0,24.0,0.625,1.0,4.0,0.25,9.0,13.0,0.692,6.0,0.673,38.4,0.646,123.0,118.0,32.5,11.0,113.7
27.0,2.0,9.0,19.0,0.474,3.0,3.0,1.0,6.0,7.0,0.857,4.0,0.611,40.7,0.553,111.0,103.0,17.8,5.8,109.7
15.0,4.0,4.0,13.0,0.308,0.0,2.0,0.0,7.0,12.0,0.583,3.0,0.41,27.3,0.308,87.0,116.0,8.0,-4.0,109.1
41.0,5.0,15.0,20.0,0.75,1.0,3.0,0.333,10.0,14.0,0.714,5.0,0.784,36.3,0.775,144.0,105.0,39.8,17.1,116.7
20.0,11.0,7.0,16.0,0.438,0.0,2.0,0.0,6.0,8.0,0.75,3.0,0.512,30.2,0.438,121.0,101.0,19.8,10.6,110.5
20.0,3.0,7.0,14.0,0.5,0.0,3.0,0.0,6.0,8.0,0.75,4.0,0.571,28.1,0.5,102.0,124.0,13.3,-1.2,106.9
36.0,5.0,13.0,23.0,0.565,0.0,2.0,0.0,10.0,15.0,0.667,2.0,0.608,43.9,0.565,129.0,110.0,29.2,15.7,106.9
28.0,6.0,10.0,19.0,0.526,1.0,4.0,0.25,7.0,10.0,0.7,2.0,0.598,38.7,0.553,122.0,111.0,20.2,3.3,112.5
33.0,5.0,13.0,22.0,0.591,1.0,4.0,0.25,6.0,6.0,1.0,4.0,0.67,37.1,0.614,129.0,107.0,28.5,11.7,112.5
35.0,10.0,12.0,18.0,0.667,2.0,4.0,0.5,9.0,12.0,0.75,4.0,0.752,36.0,0.722,143.0,94.0,34.6,17.0,113.0
31.0,7.0,11.0,21.0,0.524,0.0,4.0,0.0,9.0,13.0,0.692,3.0,0.58,36.5,0.524,117.0,116.0,24.6,8.5,113.8
31.0,9.0,11.0,17.0,0.647,2.0,5.0,0.4,7.0,10.0,0.7,4.0,0.724,39.5,0.706,137.0,114.0,25.9,21.2,112.8
43.0,3.0,11.0,20.0,0.55,3.0,6.0,0.5,18.0,20.0,0.9,3.0,0.747,35.7,0.625,145.0,108.0,36.5,19.1,113.7
26.0,8.0,10.0,18.0,0.556,1.0,5.0,0.2,5.0,8.0,0.625,6.0,0.604,34.0,0.583,104.0,94.0,21.0,9.1,113.7
30.0,11.0,11.0,17.0,0.647,0.0,2.0,0.0,8.0,12.0,0.667,5.0,0.673,39.8,0.647,128.0,90.0,29.3,16.4,106.9
30.0,4.0,6.0,17.0,0.353,1.0,3.0,0.333,17.0,17.0,1.0,4.0,0.613,36.6,0.382,116.0,111.0,20.5,5.8,110.5
27.0,6.0,8.0,20.0,0.4,1.0,3.0,0.333,10.0,14.0,0.714,5.0,0.516,36.3,0.425,100.0,122.0,16.1,-1.3,114.9
33.0,7.0,12.0,25.0,0.48,2.0,4.0,0.5,7.0,8.0,0.875,5.0,0.579,42.4,0.52,114.0,97.0,25.8,10.4,109.0
30.0,3.0,11.0,23.0,0.478,0.0,3.0,0.0,8.0,12.0,0.667,3.0,0.53,37.8,0.478,101.0,87.0,21.0,10.3,113.6
26.0,3.0,7.0,13.0,0.538,1.0,3.0,0.333,11.0,12.0,0.917,7.0,0.711,38.7,0.577,108.0,119.0,17.3,3.9,109.7
38.0,5.0,12.0,19.0,0.632,2.0,6.0,0.333,12.0,16.0,0.75,4.0,0.73,36.9,0.684,135.0,106.0,31.5,14.1,110.5
29.0,2.0,9.0,19.0,0.474,1.0,5.0,0.2,10.0,15.0,0.667,1.0,0.566,40.4,0.5,116.0,139.0,22.5,5.4,112.1
33.0,11.0,14.0,21.0,0.667,0.0,3.0,0.0,5.0,5.0,1.0,2.0,0.711,30.4,0.667,147.0,100.0,35.1,21.1,114.5
29.0,6.0,7.0,12.0,0.583,4.0,7.0,0.571,11.0,15.0,0.733,1.0,0.78,34.2,0.75,162.0,108.0,28.4,20.5,116.9
28.0,5.0,8.0,15.0,0.533,2.0,3.0,0.667,10.0,12.0,0.833,2.0,0.69,31.6,0.6,141.0,105.0,26.8,11.3,110.1
44.0,8.0,17.0,20.0,0.85,2.0,2.0,1.0,8.0,13.0,0.615,0.0,0.855,30.2,0.9,182.0,109.0,46.6,29.1,113.3
18.0,8.0,5.0,14.0,0.357,0.0,3.0,0.0,8.0,14.0,0.571,3.0,0.446,33.0,0.357,98.0,131.0,12.8,4.2,107.3
