PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
26.0,8.0,8.0,13.0,0.615,2.0,2.0,1.0,8.0,8.0,1.0,2.0,0.787,22.2,0.692,159.0,116.0,26.5,11.7,112.8
29.0,10.0,11.0,19.0,0.579,3.0,6.0,0.5,4.0,4.0,1.0,6.0,0.698,37.2,0.658,122.0,95.0,26.2,16.3,113.0
18.0,15.0,7.0,9.0,0.778,2.0,4.0,0.5,2.0,2.0,1.0,5.0,0.911,24.9,0.889,150.0,92.0,26.3,27.9,111.8
21.0,8.0,6.0,12.0,0.5,1.0,4.0,0.25,8.0,9.0,0.889,5.0,0.658,29.2,0.542,117.0,120.0,20.6,7.1,111.7
25.0,9.0,7.0,10.0,0.7,3.0,3.0,1.0,8.0,8.0,1.0,4.0,0.925,24.1,0.85,158.0,119.0,27.9,18.1,113.0
27.0,10.0,12.0,15.0,0.8,0.0,2.0,0.0,3.0,4.0,0.75,2.0,0.805,26.7,0.8,154.0,95.0,32.2,26.0,112.8
21.0,7.0,8.0,14.0,0.571,0.0,3.0,0.0,5.0,7.0,0.714,6.0,0.615,32.6,0.571,111.0,117.0,16.2,-0.7,110.5
23.0,11.0,9.0,20.0,0.45,3.0,10.0,0.3,2.0,4.0,0.5,9.0,0.528,36.1,0.525,94.0,101.0,17.9,9.4,106.9
28.0,6.0,10.0,16.0,0.625,0.0,2.0,0.0,8.0,10.0,0.8,4.0,0.686,30.4,0.625,132.0,113.0,27.7,12.0,110.5
26.0,7.0,10.0,26.0,0.385,3.0,9.0,0.333,3.0,3.0,1.0,5.0,0.476,37.1,0.442,104.0,104.0,18.4,1.2,112.5
35.0,8.0,13.0,24.0,0.542,3.0,5.0,0.6,6.0,9.0,0.667,5.0,0.626,39.0,0.604,123.0,112.0,29.7,15.3,106.9
25.0,9.0,9.0,15.0,0.6,2.0,4.0,0.5,5.0,7.0,0.714,2.0,0.691,25.3,0.667,139.0,96.0,29.1,16.2,115.3
18.0,11.0,6.0,16.0,0.375,0.0,5.0,0.0,6.0,8.0,0.75,2.0,0.461,28.1,0.375,113.0,108.0,15.9,2.6,115.3
8.0,11.0,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.68,12.7,0.6,144.0,77.0,17.4,15.4,116.9
22.0,4.0,10.0,17.0,0.588,0.0,4.0,0.0,2.0,2.0,1.0,6.0,0.615,30.8,0.588,100.0,112.0,18.5,1.0,112.8
46.0,11.0,16.0,22.0,0.727,3.0,5.0,0.6,11.0,12.0,0.917,5.0,0.843,33.2,0.795,150.0,108.0,48.7,25.5,113.0
38.0,7.0,15.0,24.0,0.625,0.0,2.0,0.0,8.0,9.0,0.889,3.0,0.68,38.5,0.625,134.0,94.0,36.1,18.7,115.3
23.0,9.0,9.0,21.0,0.429,0.0,8.0,0.0,5.0,6.0,0.833,5.0,0.486,39.7,0.429,100.0,115.0,16.9,7.2,106.9
22.0,8.0,8.0,16.0,0.5,1.0,3.0,0.333,5.0,7.0,0.714,5.0,0.577,32.9,0.531,106.0,100.0,21.1,8.9,110.8
29.0,8.0,10.0,14.0,0.714,2.0,2.0,1.0,7.0,7.0,1.0,3.0,0.849,33.9,0.786,155.0,97.0,32.4,29.3,114.5
32.0,8.0,15.0,24.0,0.625,0.0,4.0,0.0,2.0,2.0,1.0,4.0,0.643,34.6,0.625,124.0,112.0,29.3,13.0,109.7
23.0,4.0,8.0,23.0,0.348,2.0,6.0,0.333,5.0,6.0,0.833,2.0,0.449,37.2,0.391,104.0,135.0,15.4,2.0,106.9
30.0,6.0,9.0,15.0,0.6,0.0,2.0,0.0,12.0,13.0,0.923,1.0,0.724,29.7,0.6,154.0,107.0,32.6,14.8,110.1
28.0,6.0,9.0,10.0,0.9,1.0,2.0,0.5,9.0,11.0,0.818,8.0,0.943,31.2,0.95,128.0,135.0,24.8,8.9,107.3
35.0,8.0,13.0,15.0,0.867,0.0,1.0,0.0,9.0,10.0,0.9,3.0,0.902,27.8,0.867,161.0,101.0,38.1,21.9,112.8
38.0,8.0,14.0,21.0,0.667,0.0,2.0,0.0,10.0,12.0,0.833,4.0,0.723,28.7,0.667,140.0,129.0,37.6,9.0,111.7
38.0,6.0,15.0,22.0,0.682,0.0,3.0,0.0,8.0,11.0,0.727,7.0,0.708,46.1,0.682,114.0,105.0,32.6,7.6,113.3
41.0,4.0,18.0,35.0,0.514,1.0,5.0,0.2,4.0,6.0,0.667,2.0,0.545,41.2,0.529,108.0,108.0,30.4,13.4,112.3
35.0,6.0,16.0,24.0,0.667,1.0,3.0,0.333,2.0,2.0,1.0,3.0,0.703,35.2,0.688,136.0,96.0,35.7,18.8,109.0
