PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
13.0,4.0,4.0,11.0,0.364,1.0,2.0,0.5,4.0,4.0,1.0,1.0,0.509,21.1,0.409,116.0,123.0,11.4,-1.0,115.8
20.0,3.0,7.0,16.0,0.438,0.0,2.0,0.0,6.0,8.0,0.75,1.0,0.512,25.1,0.438,115.0,111.0,16.2,1.0,116.1
20.0,2.0,7.0,11.0,0.636,1.0,2.0,0.5,5.0,6.0,0.833,2.0,0.733,22.7,0.682,129.0,107.0,18.8,2.6,119.6
28.0,6.0,9.0,15.0,0.6,3.0,4.0,0.75,7.0,7.0,1.0,3.0,0.774,24.7,0.7,141.0,110.0,26.3,11.3,115.3
15.0,2.0,5.0,13.0,0.385,2.0,4.0,0.5,3.0,3.0,1.0,1.0,0.524,19.3,0.462,113.0,108.0,11.2,-0.9,114.3
19.0,4.0,5.0,14.0,0.357,1.0,3.0,0.333,8.0,9.0,0.889,2.0,0.529,24.7,0.393,113.0,121.0,14.5,-4.3,116.4
32.0,5.0,10.0,14.0,0.714,1.0,1.0,1.0,11.0,14.0,0.786,3.0,0.794,31.9,0.75,146.0,118.0,29.5,12.0,119.8
36.0,3.0,12.0,19.0,0.632,2.0,5.0,0.4,10.0,11.0,0.909,4.0,0.755,38.4,0.684,134.0,120.0,30.6,10.6,116.1
25.0,2.0,8.0,16.0,0.5,2.0,6.0,0.333,7.0,7.0,1.0,2.0,0.655,29.6,0.563,118.0,115.0,17.5,4.4,116.3
16.0,6.0,4.0,11.0,0.364,0.0,2.0,0.0,8.0,9.0,0.889,1.0,0.535,26.0,0.364,125.0,112.0,13.8,-1.3,116.3
10.0,9.0,3.0,12.0,0.25,1.0,5.0,0.2,3.0,4.0,0.75,1.0,0.363,23.8,0.292,114.0,97.0,12.7,3.6,112.7
23.0,3.0,7.0,14.0,0.5,3.0,5.0,0.6,6.0,6.0,1.0,2.0,0.691,22.7,0.607,127.0,107.0,17.3,6.1,113.4
36.0,3.0,9.0,19.0,0.474,0.0,1.0,0.0,18.0,20.0,0.9,3.0,0.647,32.5,0.474,136.0,124.0,29.1,2.0,118.0
33.0,5.0,12.0,23.0,0.522,0.0,1.0,0.0,9.0,9.0,1.0,1.0,0.612,33.0,0.522,132.0,147.0,26.1,0.0,118.0
19.0,8.0,7.0,16.0,0.438,1.0,1.0,1.0,4.0,5.0,0.8,0.0,0.522,23.7,0.469,122.0,110.0,16.6,1.4,118.8
16.0,2.0,5.0,15.0,0.333,0.0,2.0,0.0,6.0,7.0,0.857,2.0,0.442,23.9,0.333,94.0,116.0,9.8,-4.8,112.7
23.0,8.0,7.0,12.0,0.583,1.0,1.0,1.0,8.0,9.0,0.889,3.0,0.721,25.1,0.625,141.0,122.0,21.7,4.2,119.8
20.0,7.0,6.0,15.0,0.4,0.0,1.0,0.0,8.0,10.0,0.8,1.0,0.515,25.9,0.4,123.0,131.0,17.6,-1.1,116.3
28.0,2.0,9.0,18.0,0.5,0.0,2.0,0.0,10.0,11.0,0.909,2.0,0.613,32.8,0.5,122.0,126.0,20.4,-0.7,116.3
15.0,5.0,5.0,12.0,0.417,1.0,3.0,0.333,4.0,6.0,0.667,1.0,0.512,19.9,0.458,116.0,125.0,12.2,-2.2,109.0
15.0,2.0,5.0,10.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.689,17.6,0.65,144.0,123.0,12.2,4.8,111.3
15.0,3.0,4.0,10.0,0.4,1.0,2.0,0.5,6.0,8.0,0.75,4.0,0.555,21.9,0.45,100.0,112.0,10.9,-2.8,114.3
17.0,4.0,7.0,11.0,0.636,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.743,19.7,0.727,144.0,152.0,16.8,5.9,111.6
28.0,4.0,11.0,20.0,0.55,1.0,3.0,0.333,5.0,6.0,0.833,0.0,0.618,29.3,0.575,138.0,130.0,27.0,10.2,113.4
26.0,4.0,7.0,12.0,0.583,2.0,2.0,1.0,10.0,10.0,1.0,0.0,0.793,19.9,0.667,177.0,126.0,28.2,13.3,114.6
31.0,6.0,10.0,14.0,0.714,2.0,3.0,0.667,9.0,12.0,0.75,1.0,0.804,27.6,0.786,157.0,110.0,29.9,13.8,115.2
24.0,3.0,7.0,10.0,0.7,1.0,1.0,1.0,9.0,13.0,0.692,2.0,0.763,20.8,0.75,145.0,103.0,23.6,10.2,119.6
21.0,3.0,8.0,19.0,0.421,2.0,5.0,0.4,3.0,3.0,1.0,1.0,0.517,26.8,0.474,111.0,114.0,16.0,5.4,115.4
23.0,8.0,6.0,9.0,0.667,2.0,4.0,0.5,9.0,12.0,0.75,5.0,0.805,24.9,0.778,129.0,92.0,23.9,11.8,111.3
17.0,11.0,5.0,12.0,0.417,1.0,3.0,0.333,6.0,6.0,1.0,0.0,0.581,19.4,0.458,143.0,93.0,25.7,15.5,116.4
23.0,6.0,7.0,12.0,0.583,1.0,1.0,1.0,8.0,12.0,0.667,3.0,0.666,33.7,0.625,129.0,86.0,24.2,19.6,112.9
22.0,9.0,7.0,12.0,0.583,1.0,2.0,0.5,7.0,9.0,0.778,1.0,0.689,24.7,0.625,152.0,96.0,26.7,18.3,117.5
21.0,3.0,7.0,17.0,0.412,1.0,4.0,0.25,6.0,9.0,0.667,0.0,0.501,23.2,0.441,116.0,111.0,16.7,2.7,113.0
37.0,7.0,12.0,19.0,0.632,3.0,3.0,1.0,10.0,11.0,0.909,2.0,0.776,33.0,0.711,151.0,131.0,33.6,13.6,120.4
26.0,8.0,7.0,13.0,0.538,1.0,3.0,0.333,11.0,12.0,0.917,2.0,0.711,25.5,0.577,148.0,116.0,27.1,9.0,118.8
14.0,5.0,6.0,12.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,6.0,0.543,24.2,0.542,80.0,119.0,7.5,-7.7,115.4
20.0,8.0,8.0,16.0,0.5,0.0,3.0,0.0,4.0,6.0,0.667,1.0,0.536,25.5,0.5,122.0,119.0,19.2,3.7,112.1
23.0,4.0,9.0,20.0,0.45,0.0,4.0,0.0,5.0,6.0,0.833,2.0,0.508,28.0,0.45,110.0,115.0,15.2,-1.3,119.6
15.0,2.0,6.0,16.0,0.375,1.0,2.0,0.5,2.0,2.0,1.0,1.0,0.444,25.0,0.406,98.0,117.0,9.2,-2.0,113.0
14.0,3.0,5.0,11.0,0.455,0.0,1.0,0.0,4.0,5.0,0.8,1.0,0.53,20.1,0.455,111.0,101.0,11.8,-1.8,118.8
30.0,5.0,11.0,19.0,0.579,2.0,4.0,0.5,6.0,7.0,0.857,2.0,0.679,31.8,0.632,134.0,110.0,27.4,14.3,112.7
17.0,5.0,5.0,12.0,0.417,0.0,3.0,0.0,7.0,7.0,1.0,0.0,0.564,20.6,0.417,129.0,129.0,16.7,3.3,112.9
15.0,6.0,3.0,6.0,0.5,1.0,2.0,0.5,8.0,9.0,0.889,2.0,0.753,23.0,0.583,146.0,94.0,14.5,7.0,112.7
8.0,8.0,2.0,4.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,0.0,0.752,9.5,0.625,186.0,85.0,13.4,5.5,117.5
17.0,6.0,5.0,12.0,0.417,1.0,3.0,0.333,6.0,6.0,1.0,4.0,0.581,23.1,0.458,113.0,114.0,11.5,-4.2,113.4
