PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
27.0,6.0,11.0,21.0,0.524,4.0,10.0,0.4,1.0,1.0,1.0,0.0,0.63,26.6,0.619,139.0,109.0,27.5,15.7,116.1
43.0,5.0,15.0,27.0,0.556,4.0,11.0,0.364,9.0,11.0,0.818,5.0,0.675,36.4,0.63,120.0,98.0,34.6,15.5,112.1
26.0,3.0,11.0,20.0,0.55,0.0,3.0,0.0,4.0,4.0,1.0,2.0,0.597,35.3,0.55,119.0,110.0,20.4,14.0,113.4
30.0,4.0,9.0,22.0,0.409,6.0,15.0,0.4,6.0,6.0,1.0,5.0,0.609,38.4,0.545,103.0,94.0,17.9,6.6,113.4
38.0,9.0,13.0,21.0,0.619,4.0,7.0,0.571,8.0,10.0,0.8,3.0,0.748,34.4,0.714,139.0,121.0,33.5,13.6,118.0
31.0,7.0,11.0,19.0,0.579,5.0,11.0,0.455,4.0,4.0,1.0,4.0,0.747,30.8,0.711,135.0,109.0,24.8,14.6,115.2
20.0,5.0,8.0,23.0,0.348,1.0,9.0,0.111,3.0,3.0,1.0,0.0,0.411,26.7,0.37,102.0,126.0,13.3,-3.2,112.1
21.0,5.0,7.0,22.0,0.318,2.0,6.0,0.333,5.0,6.0,0.833,2.0,0.426,30.8,0.364,93.0,105.0,13.1,-2.1,115.2
22.0,5.0,7.0,21.0,0.333,4.0,9.0,0.444,4.0,4.0,1.0,2.0,0.483,28.5,0.429,110.0,141.0,13.9,-1.7,115.2
34.0,4.0,13.0,20.0,0.65,5.0,8.0,0.625,3.0,4.0,0.75,3.0,0.781,32.3,0.775,138.0,101.0,25.8,9.3,117.5
22.0,6.0,4.0,18.0,0.222,2.0,6.0,0.333,12.0,13.0,0.923,1.0,0.464,29.5,0.278,105.0,118.0,16.3,-1.4,115.3
10.0,4.0,4.0,17.0,0.235,0.0,5.0,0.0,2.0,3.0,0.667,0.0,0.273,22.9,0.235,77.0,106.0,5.0,-7.1,118.8
40.0,5.0,14.0,25.0,0.56,3.0,11.0,0.273,9.0,9.0,1.0,6.0,0.691,41.1,0.62,124.0,95.0,32.2,10.9,119.4
23.0,6.0,7.0,20.0,0.35,1.0,9.0,0.111,8.0,8.0,1.0,1.0,0.489,31.6,0.375,119.0,103.0,21.9,12.6,117.5
20.0,4.0,7.0,19.0,0.368,2.0,5.0,0.4,4.0,5.0,0.8,4.0,0.472,34.1,0.421,88.0,104.0,10.4,-4.6,118.8
35.0,6.0,12.0,24.0,0.5,5.0,10.0,0.5,6.0,9.0,0.667,4.0,0.626,37.7,0.604,120.0,111.0,24.7,6.1,111.3
27.0,6.0,9.0,17.0,0.529,3.0,8.0,0.375,6.0,8.0,0.75,5.0,0.658,30.5,0.618,118.0,100.0,22.0,6.1,112.2
22.0,3.0,6.0,18.0,0.333,2.0,10.0,0.2,8.0,9.0,0.889,2.0,0.501,27.5,0.389,113.0,111.0,15.3,6.4,111.3
29.0,3.0,11.0,22.0,0.5,5.0,13.0,0.385,2.0,2.0,1.0,3.0,0.634,32.8,0.614,110.0,124.0,18.7,3.4,111.6
31.0,6.0,12.0,24.0,0.5,2.0,8.0,0.25,5.0,5.0,1.0,3.0,0.592,33.1,0.542,118.0,123.0,23.2,5.2,111.6
22.0,13.0,7.0,21.0,0.333,4.0,9.0,0.444,4.0,4.0,1.0,1.0,0.483,23.7,0.429,137.0,124.0,21.3,4.2,119.4
37.0,6.0,14.0,27.0,0.519,4.0,11.0,0.364,5.0,5.0,1.0,2.0,0.634,29.6,0.593,132.0,132.0,25.6,3.4,113.4
34.0,9.0,14.0,23.0,0.609,2.0,10.0,0.2,4.0,4.0,1.0,2.0,0.687,31.0,0.652,134.0,115.0,31.5,15.9,115.8
26.0,7.0,8.0,21.0,0.381,4.0,9.0,0.444,6.0,6.0,1.0,3.0,0.55,30.8,0.476,109.0,114.0,21.3,4.5,118.8
22.0,4.0,6.0,16.0,0.375,4.0,9.0,0.444,6.0,6.0,1.0,2.0,0.59,35.2,0.5,134.0,98.0,18.7,9.4,119.6
26.0,4.0,8.0,15.0,0.533,5.0,8.0,0.625,5.0,8.0,0.625,3.0,0.702,36.8,0.7,127.0,95.0,18.5,10.1,119.6
17.0,9.0,7.0,18.0,0.389,1.0,10.0,0.1,2.0,4.0,0.5,4.0,0.43,27.3,0.417,95.0,121.0,9.9,-6.9,116.4
45.0,6.0,15.0,30.0,0.5,4.0,12.0,0.333,11.0,13.0,0.846,7.0,0.63,45.1,0.567,116.0,98.0,34.4,14.4,116.1
34.0,7.0,11.0,21.0,0.524,4.0,10.0,0.4,8.0,8.0,1.0,2.0,0.693,31.5,0.619,143.0,95.0,30.3,17.1,116.3
31.0,7.0,12.0,19.0,0.632,4.0,8.0,0.5,3.0,4.0,0.75,1.0,0.747,36.2,0.737,153.0,88.0,30.5,24.3,115.8
18.0,8.0,6.0,17.0,0.353,0.0,6.0,0.0,6.0,6.0,1.0,1.0,0.458,26.4,0.353,107.0,100.0,14.4,-3.5,119.4
25.0,13.0,9.0,19.0,0.474,3.0,8.0,0.375,4.0,4.0,1.0,3.0,0.602,38.5,0.553,136.0,101.0,25.1,13.3,111.3
23.0,8.0,10.0,24.0,0.417,2.0,11.0,0.182,1.0,4.0,0.25,6.0,0.446,35.4,0.458,83.0,123.0,9.7,-9.4,115.8
